condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,cabinet,0,0,True,115,23,1.214383300985978,16.185262877630244,0.0,0.0,0.0,nan,36b9a15cbe59d01bb27b76072f2654040b90a4ac9b111d6c40d05acb54cbca9f,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init0_repeat0_success.json
base,cabinet,0,1,True,110,22,1.1629815285050522,14.385936440693223,0.0,0.0,0.0,nan,36b9a15cbe59d01bb27b76072f2654040b90a4ac9b111d6c40d05acb54cbca9f,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init0_repeat1_success.json
base,cabinet,10,0,True,152,31,1.5129553817507726,27.258209467463047,0.0,0.0,0.0,nan,d5e347ed5bcc0bd6ccad68912c7df9c04a836bec9c29f9ad3bec496795009462,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init10_repeat0_success.json
base,cabinet,10,1,True,119,24,1.3152966341525285,14.016674309771469,0.0,0.0,0.0,nan,d5e347ed5bcc0bd6ccad68912c7df9c04a836bec9c29f9ad3bec496795009462,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init10_repeat1_success.json
base,cabinet,11,0,True,120,24,1.2920320344728613,14.1045682675316,0.0,0.0,0.0,nan,76461c7402be7c5fba658915ad779c93fb54cc8d7343c7e15573ec83a26eb38c,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init11_repeat0_success.json
base,cabinet,11,1,True,124,25,1.3305330477519592,13.908675553535526,0.0,0.0,0.0,nan,76461c7402be7c5fba658915ad779c93fb54cc8d7343c7e15573ec83a26eb38c,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init11_repeat1_success.json
base,cabinet,12,0,True,117,24,1.2582915755288366,15.477982571052637,0.0,0.0,0.0,nan,0b197244dda506bdbfbbfb7d158f5fed92fa5bd90f81eda23561873eb9df91a8,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init12_repeat0_success.json
base,cabinet,12,1,True,125,25,1.239628873792059,21.319441493797623,0.0,0.0,0.0,nan,0b197244dda506bdbfbbfb7d158f5fed92fa5bd90f81eda23561873eb9df91a8,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init12_repeat1_success.json
base,cabinet,13,0,True,113,23,1.2061820991746723,16.467881243611806,0.0,0.0,0.0,nan,1d8deeecde60ffb4ce131c02c9cb467611f2b5299995aec3fbd1f70fec18934e,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init13_repeat0_success.json
base,cabinet,13,1,True,112,23,1.224541370910141,17.210870705113535,0.0,0.0,0.0,nan,1d8deeecde60ffb4ce131c02c9cb467611f2b5299995aec3fbd1f70fec18934e,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init13_repeat1_success.json
base,cabinet,14,0,True,129,26,1.324388349851424,18.813624684444438,0.0,0.0,0.0,nan,2d8ff17e5d1b06c44bb0852c84acae175d1d726c0be244c5056e0b953013482d,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init14_repeat0_success.json
base,cabinet,14,1,True,117,24,1.2755962265126197,14.797638759817263,0.0,0.0,0.0,nan,2d8ff17e5d1b06c44bb0852c84acae175d1d726c0be244c5056e0b953013482d,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init14_repeat1_success.json
base,cabinet,15,0,False,220,44,1.2866061169488334,37.63963483713354,0.0,0.0,0.0,nan,e5350dda0911a0ea657fcae5b2ab61c24fe1255c7f04c5c684c692607c291552,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init15_repeat0_failure.json
base,cabinet,15,1,False,220,44,1.6504151376587846,49.82844619423541,0.0,0.0,0.0,nan,e5350dda0911a0ea657fcae5b2ab61c24fe1255c7f04c5c684c692607c291552,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init15_repeat1_failure.json
base,cabinet,16,0,True,120,24,1.3240713718383597,14.356535173775315,0.0,0.0,0.0,nan,dfedccaabdf0c5d43ef1c1214a9b1164a3e63ae69d047d78fd5014748aa45585,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init16_repeat0_success.json
base,cabinet,16,1,True,123,25,1.3063886138334622,15.360097366566794,0.0,0.0,0.0,nan,dfedccaabdf0c5d43ef1c1214a9b1164a3e63ae69d047d78fd5014748aa45585,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init16_repeat1_success.json
base,cabinet,17,0,True,114,23,1.2192289699635521,13.055046752965675,0.0,0.0,0.0,nan,da39575ca264cc7bcf19b88ed725fc71b1dd4aa7a51689451421ca156972193f,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init17_repeat0_success.json
base,cabinet,17,1,True,115,23,1.230375291049752,12.871008432097392,0.0,0.0,0.0,nan,da39575ca264cc7bcf19b88ed725fc71b1dd4aa7a51689451421ca156972193f,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init17_repeat1_success.json
base,cabinet,18,0,False,220,44,1.2124605773063295,24.024395067640306,0.0,0.0,0.0,nan,fe1612b0553cd195d1ef3c0c14f8061e485e7ff0089e3acc0b516d6e4f594760,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init18_repeat0_failure.json
base,cabinet,18,1,False,220,44,1.3617951429361854,38.45067760283184,0.0,0.0,0.0,nan,fe1612b0553cd195d1ef3c0c14f8061e485e7ff0089e3acc0b516d6e4f594760,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init18_repeat1_failure.json
base,cabinet,19,0,True,114,23,1.2470301209956758,12.8817536597085,0.0,0.0,0.0,nan,d3ad7f270d80c0fdae38709eae4706b71018c325d778a4c15d35b0de7ec0d811,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init19_repeat0_success.json
base,cabinet,19,1,True,115,23,1.2531722182403593,13.71431830987981,0.0,0.0,0.0,nan,d3ad7f270d80c0fdae38709eae4706b71018c325d778a4c15d35b0de7ec0d811,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init19_repeat1_success.json
base,cabinet,1,0,True,107,22,1.1461050854284782,13.872187812706308,0.0,0.0,0.0,nan,333636c39045f49e522e8e5941dac85621364d406ff84f43c6fbf832456ab1e4,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init1_repeat0_success.json
base,cabinet,1,1,True,104,21,1.162082870501579,14.33671460494925,0.0,0.0,0.0,nan,333636c39045f49e522e8e5941dac85621364d406ff84f43c6fbf832456ab1e4,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init1_repeat1_success.json
base,cabinet,20,0,True,134,27,1.266843800746006,18.49929455521197,0.0,0.0,0.0,nan,545069fd5d5f428e08206edb2b1fdd5084788476411e160cb84d893f8999bdbe,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init20_repeat0_success.json
base,cabinet,20,1,True,116,24,1.1914573827213417,13.494607054570846,0.0,0.0,0.0,nan,545069fd5d5f428e08206edb2b1fdd5084788476411e160cb84d893f8999bdbe,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init20_repeat1_success.json
base,cabinet,21,0,True,114,23,1.274666134734874,15.05302552821791,0.0,0.0,0.0,nan,5f4b2a9538ba9ddd4c70b5125719a861208e44c71315340ad84a692099d2f71d,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init21_repeat0_success.json
base,cabinet,21,1,True,113,23,1.2737290005214954,13.470631571677998,0.0,0.0,0.0,nan,5f4b2a9538ba9ddd4c70b5125719a861208e44c71315340ad84a692099d2f71d,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init21_repeat1_success.json
base,cabinet,22,0,True,116,24,1.2236399349108031,14.528981165616996,0.0,0.0,0.0,nan,a3911cc7175221df9a29888681fcf35b539560dc21ef554075f1cf28b495aed4,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init22_repeat0_success.json
base,cabinet,22,1,True,123,25,1.2421787068460048,16.882356674760594,0.0,0.0,0.0,nan,a3911cc7175221df9a29888681fcf35b539560dc21ef554075f1cf28b495aed4,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init22_repeat1_success.json
base,cabinet,23,0,True,113,23,1.2257773282566762,14.621816573646793,0.0,0.0,0.0,nan,34b3fbe5a7016227e3ab645b0c623683bef8869f7e2df416efe1869108dc7245,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init23_repeat0_success.json
base,cabinet,23,1,True,115,23,1.1903535462645585,16.674419665285775,0.0,0.0,0.0,nan,34b3fbe5a7016227e3ab645b0c623683bef8869f7e2df416efe1869108dc7245,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init23_repeat1_success.json
base,cabinet,24,0,True,112,23,1.224435705381589,14.092436212754931,0.0,0.0,0.0,nan,a8f4a5683914bb89ec9face82b3612b2dc421414e862fc54de273fc1662ffd3c,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init24_repeat0_success.json
base,cabinet,24,1,True,106,22,1.1954053314889774,13.616281738081597,0.0,0.0,0.0,nan,a8f4a5683914bb89ec9face82b3612b2dc421414e862fc54de273fc1662ffd3c,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init24_repeat1_success.json
base,cabinet,25,0,True,110,22,1.206691274531656,13.200985542742917,0.0,0.0,0.0,nan,a94a751459b34b98a4f306074a00fe3e5f8ca9d60c907c11a2b232530f26befa,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init25_repeat0_success.json
base,cabinet,25,1,True,112,23,1.2314431769514635,12.997616610523783,0.0,0.0,0.0,nan,a94a751459b34b98a4f306074a00fe3e5f8ca9d60c907c11a2b232530f26befa,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init25_repeat1_success.json
base,cabinet,26,0,False,220,44,1.2157189922110363,37.23339285542323,0.0,0.0,0.0,nan,4247a9c4d41c4f940d203ddb7b64d9586b9a868eb5100c3360bc36ff7fbd6b7e,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init26_repeat0_failure.json
base,cabinet,26,1,False,220,44,1.0973562254088134,21.900297229274834,0.0,0.0,0.0,nan,4247a9c4d41c4f940d203ddb7b64d9586b9a868eb5100c3360bc36ff7fbd6b7e,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init26_repeat1_failure.json
base,cabinet,27,0,True,116,24,1.24400806324348,13.433520702201598,0.0,0.0,0.0,nan,2b94d9c28fd87be6bfe75a1eae16547fe967e5255211c19dafe4e9629107ec09,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init27_repeat0_success.json
base,cabinet,27,1,True,114,23,1.2239716798293772,13.540908613269181,0.0,0.0,0.0,nan,2b94d9c28fd87be6bfe75a1eae16547fe967e5255211c19dafe4e9629107ec09,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init27_repeat1_success.json
base,cabinet,28,0,True,112,23,1.2093038782304006,13.572389248198684,0.0,0.0,0.0,nan,1a50237b5e42118b71e246118efb04d118fc032213d50269989bdfe8e25e73ce,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init28_repeat0_success.json
base,cabinet,28,1,True,111,23,1.188523973659584,13.146387777681792,0.0,0.0,0.0,nan,1a50237b5e42118b71e246118efb04d118fc032213d50269989bdfe8e25e73ce,artifacts/black_bowl_steering_formal_100/black_bowl_base_cabinet_init28_repeat1_success.json
