condition,target,init_state_index,repeat_index,success,policy_steps,close_step,grasp_state,lift_state,close_query,grasp_query,lift_query,pre_lift_steps,pre_lift_eef_path_m,pre_lift_action_tv_l2,post_lift_evidence_5,post_lift_evidence_10,post_lift_evidence_15,post_lift_evidence_20,post_lift_early_auc20,post_lift_wrong_fraction15,metadata_path,guidance_at_close,belief_positive_at_close,belief_negative_at_close,guidance_close_plus_1,belief_positive_close_plus_1,belief_negative_close_plus_1,guidance_close_plus_2,belief_positive_close_plus_2,belief_negative_close_plus_2,guidance_close_plus_3,belief_positive_close_plus_3,belief_negative_close_plus_3,guidance_at_grasp,belief_positive_at_grasp,belief_negative_at_grasp,guidance_grasp_plus_1,belief_positive_grasp_plus_1,belief_negative_grasp_plus_1,guidance_grasp_plus_2,belief_positive_grasp_plus_2,belief_negative_grasp_plus_2,guidance_grasp_plus_3,belief_positive_grasp_plus_3,belief_negative_grasp_plus_3,guidance_at_lift,belief_positive_at_lift,belief_negative_at_lift,guidance_lift_plus_1,belief_positive_lift_plus_1,belief_negative_lift_plus_1,guidance_lift_plus_2,belief_positive_lift_plus_2,belief_negative_lift_plus_2,guidance_lift_plus_3,belief_positive_lift_plus_3,belief_negative_lift_plus_3
base,cabinet,0,0,True,84,42,55,63,6,9,10,53.0,0.43068752824615664,6.8043150060695705,0.1778213882418253,0.4002087404772787,0.6587206607720444,0.8815688167525699,0.2948635306696029,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init0_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,0,1,True,92,39,58,61,5,9,10,51.0,0.4313014660683375,6.885887714304479,0.17718248177359833,0.40951595530909285,0.6565745723452278,0.8544402371532356,0.2946609370211963,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init0_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,10,0,True,91,42,87,61,6,15,10,51.0,0.4494355239447522,7.332059900785239,0.1487921900408687,0.3066621660395404,0.4996424399914987,0.7146601517973165,0.23025498306915684,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init10_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,10,1,True,99,40,69,59,6,11,9,49.0,0.44143256251775925,7.347551515778338,0.15172757033310555,0.3130060138201699,0.5218714689281814,0.7419692000114078,0.23691142809988364,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init10_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,11,0,True,85,40,56,62,6,9,10,52.0,0.43552343618640904,6.690948901290015,0.15657364996946505,0.37053732418342983,0.6312369359998452,0.8618360198013679,0.27279718163633165,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init11_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,11,1,True,83,40,55,62,6,9,10,52.0,0.44389176539979625,7.277956155447783,0.1782873086144492,0.4239208186432904,0.6874267514487464,0.9040876506686795,0.3048374640425419,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init11_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,12,0,True,92,40,73,60,6,12,10,50.0,0.44146655820270375,8.07228189131754,0.16248309886527923,0.37582971105959845,0.62089058110755,0.8367212138954742,0.27465849045995433,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init12_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,12,1,True,90,41,57,60,6,9,10,50.0,0.4551742757448989,7.474907044525198,0.16146204156916472,0.3590276947136795,0.5917927191635549,0.8015787236674152,0.2647006198032251,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init12_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,13,0,True,84,39,84,59,5,14,9,49.0,0.423783213504407,7.307530785218764,0.14695520302235487,0.3492712954211722,0.6141367778041665,0.8435789105026748,0.260182555060904,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init13_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,13,1,True,87,39,55,61,5,9,10,51.0,0.4313401125864746,7.346884320155789,0.14853908121826429,0.32349445184767933,0.5791726757994785,0.805308617951175,0.24857595835106422,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init13_repeat1_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
base,cabinet,14,0,True,85,42,72,62,6,12,10,52.0,0.442756696472359,7.012619620853242,0.17953805551067664,0.40261648535532324,0.6531922571940152,0.8884965138903798,0.29486014865784266,0.0,artifacts/goal_bowl_destination_steering_formal_original_phase/goal_bowl_destination_base_cabinet_init14_repeat0_success.json,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan,0.0,nan,nan
