condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,cabinet,0,0,True,84,17,0.8398646290973679,10.33965032764992,0.0,0.0,0.0,nan,321cf4080ba7eacc140b241b4a44419ecb98aefa3d18d49945df6867584aa9b5,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init0_repeat0_success.json
base,cabinet,0,1,True,92,19,0.8833917319656869,10.965046221460618,0.0,0.0,0.0,nan,321cf4080ba7eacc140b241b4a44419ecb98aefa3d18d49945df6867584aa9b5,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init0_repeat1_success.json
base,cabinet,10,0,True,91,19,0.925494930792016,11.734254142351372,0.0,0.0,0.0,nan,aa497633046432954b9db128392fc055acdc582e59fd8d079fa71e23ea46a747,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init10_repeat0_success.json
base,cabinet,10,1,True,99,20,1.0450401285031705,12.772845519848346,0.0,0.0,0.0,nan,aa497633046432954b9db128392fc055acdc582e59fd8d079fa71e23ea46a747,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init10_repeat1_success.json
base,cabinet,11,0,True,85,17,0.8505481357692726,10.07531642015087,0.0,0.0,0.0,nan,ee8bf9f07fab13908afd71636d89f1496174e9910c659f06e467e5c86064fb92,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init11_repeat0_success.json
base,cabinet,11,1,True,83,17,0.8384401385804444,10.377598740170251,0.0,0.0,0.0,nan,ee8bf9f07fab13908afd71636d89f1496174e9910c659f06e467e5c86064fb92,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init11_repeat1_success.json
base,cabinet,12,0,True,92,19,0.9297637784990697,14.582720513897218,0.0,0.0,0.0,nan,ba0f137def3da13922b741cf35666f5c9a97e5cf8013bf27ec4d3f62bb319fe8,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init12_repeat0_success.json
base,cabinet,12,1,True,90,18,0.949600611491783,11.911999235157655,0.0,0.0,0.0,nan,ba0f137def3da13922b741cf35666f5c9a97e5cf8013bf27ec4d3f62bb319fe8,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init12_repeat1_success.json
base,cabinet,13,0,True,84,17,0.8646673158391296,11.102171156905195,0.0,0.0,0.0,nan,53d47afde021fbf8db3c829b1a40c30bef70dfd468106738eedb2098efb7362b,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init13_repeat0_success.json
base,cabinet,13,1,True,87,18,0.8674284026933138,11.03019668559528,0.0,0.0,0.0,nan,53d47afde021fbf8db3c829b1a40c30bef70dfd468106738eedb2098efb7362b,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init13_repeat1_success.json
base,cabinet,14,0,True,85,17,0.8618639198751409,10.717374869635755,0.0,0.0,0.0,nan,ebc26ccdeb1c35b101ab77d92748fdc9eb8110ad6ebf9be10a3b3ebc0276dda4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init14_repeat0_success.json
base,cabinet,14,1,True,84,17,0.8605943220704166,10.9302006144266,0.0,0.0,0.0,nan,ebc26ccdeb1c35b101ab77d92748fdc9eb8110ad6ebf9be10a3b3ebc0276dda4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init14_repeat1_success.json
base,cabinet,15,0,True,77,16,0.7811107132361989,11.218399315914311,0.0,0.0,0.0,nan,4b4fcae42ad528e64400b10e5fdad5e5c1a829d38c2e66d2f9ab10b9a08b09ea,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init15_repeat0_success.json
base,cabinet,15,1,True,77,16,0.7807456018126588,10.32976637126858,0.0,0.0,0.0,nan,4b4fcae42ad528e64400b10e5fdad5e5c1a829d38c2e66d2f9ab10b9a08b09ea,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init15_repeat1_success.json
base,cabinet,16,0,True,85,17,0.8311683292306923,10.502345476396993,0.0,0.0,0.0,nan,cbde56991480f83fb2b0fff4894a024bd1cf120e5788c34480e7c17568adf9f5,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init16_repeat0_success.json
base,cabinet,16,1,True,89,18,0.8786625635907045,10.929512808588122,0.0,0.0,0.0,nan,cbde56991480f83fb2b0fff4894a024bd1cf120e5788c34480e7c17568adf9f5,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init16_repeat1_success.json
base,cabinet,17,0,True,86,18,0.8965332323755262,10.735771393265765,0.0,0.0,0.0,nan,8a2304c76cf05364394a5e9e8205494645e8dcf034b756638103c488f013dd7b,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init17_repeat0_success.json
