scope,value,episode_count,task_success_rate,mean_C20,mean_C30,mean_C40,accuracy_20,accuracy_30,accuracy_40,mean_path_length_m,mean_excess_path_length,mean_abs_lateral_deviation_m,mean_C30_seed_sign_agreement,balanced_accuracy_20,balanced_accuracy_30,balanced_accuracy_40,mean_spearman_rho_C20,mean_spearman_rho_C30,mean_spearman_rho_C40,mean_L3_minus_L0_C30,L3_above_L0_fraction_C30,adjacent_order_success_fraction_C30,mean_A1_minus_L0_C30
level,A1,8,1.0,0.00012594320484239554,0.0008453116297730026,0.0011123166824586438,0.5,0.625,0.5,0.22150249365766858,0.00894230586460135,0.011510063682603953,0.875,,,,,,,,,,
level,L0,8,1.0,0.0013101670397250242,0.0021161483440605977,0.0034401332994552867,0.5,0.625,0.75,0.2195365066470118,0.0,0.0005583152811209323,0.9624999999999999,,,,,,,,,,
level,L1,8,1.0,0.0014765629830576217,0.002406868817002637,0.00374476297150395,0.5,0.5,0.625,0.22124672751947652,0.00777945953386066,0.011057446480716639,0.9375,,,,,,,,,,
level,L2,8,1.0,0.002552341013140026,0.004467131036533033,0.004359224311373678,0.5,0.75,0.5,0.22601583202948766,0.02947598999621815,0.022344770648388537,0.9625,,,,,,,,,,
level,L3,8,1.0,0.002511718206552448,0.004563346900013627,0.004228601159565239,0.5,0.625,0.5,0.23314150130525182,0.061895927726592616,0.033657286482786916,0.9025000000000001,,,,,,,,,,
target_identity,milk,20,1.0,-0.022210893045507087,-0.00743762889224271,-0.0032983198076198374,0.0,0.35,0.5,,,,,,,,,,,,,,
target_identity,orange_juice,20,1.0,0.025401586024434097,0.01319715158319587,0.010052335177362556,1.0,0.9,0.65,,,,,,,,,,,,,,
physical_side,left,20,1.0,0.002114097097118299,0.0073271858614329475,0.011012972297051862,0.5,0.75,0.75,,,,,,,,,,,,,,
physical_side,right,20,1.0,0.0010765958818087077,-0.001567663170479787,-0.004258956927309142,0.5,0.5,0.4,,,,,,,,,,,,,,
preregistered_overall,L0-L3,32,,,,,,,,,,,,0.5,0.625,0.59375,-0.05,0.22499999999999998,0.025000000000000022,0.0024471985559530304,0.5,0.625,-0.001270836714287595
