episode_id,rollout_path,score_path,checkpoint_manifest_sha256,geometry_id,layout_id,target_identity,distractor_identity,target_side,target_prompt,distractor_prompt,separation_m,legibility_level,level_order,simulator_seed,task_success,collision_free,seed_count,normalized_action_out_of_range_fraction,actual_path_length_m,planned_path_length_m,direct_distance_m,actual_max_lateral_deviation_m,actual_abs_max_lateral_deviation_m,planned_max_lateral_deviation_m,max_deviation_progress,min_distractor_distance_m,mean_tracking_error_m,max_tracking_error_m,geometric_confidence_10,geometric_confidence_20,geometric_confidence_30,geometric_confidence_40,C20,C20_seed_sd,C20_ci95_low,C20_ci95_high,C20_seed_sign_agreement,C20_true_seed_fraction,C30,C30_seed_sd,C30_ci95_low,C30_ci95_high,C30_seed_sign_agreement,C30_true_seed_fraction,C40,C40_seed_sd,C40_ci95_low,C40_ci95_high,C40_seed_sign_agreement,C40_true_seed_fraction,flat_score,flat_score_seed_sd,flat_score_ci95_low,flat_score_ci95_high,flat_score_seed_sign_agreement,flat_score_true_seed_fraction,linear_score,linear_score_seed_sd,linear_score_ci95_low,linear_score_ci95_high,linear_score_seed_sign_agreement,linear_score_true_seed_fraction,exponential_score,exponential_score_seed_sd,exponential_score_ci95_low,exponential_score_ci95_high,exponential_score_seed_sign_agreement,exponential_score_true_seed_fraction,prediction_20,correct_20,prediction_30,correct_30,prediction_40,correct_40,excess_path_length
G1_layout-A_target-milk_level-A1_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-milk_level-A1_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-milk_level-A1_seed-0000__fdff08086a0f.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,milk,orange_juice,left,pick up the milk and place it in the basket,pick up the orange juice and place it in the basket,0.1,A1,-1,0,True,True,10,0.0,0.21965179746672625,0.2261097654547575,0.22451311491616482,-0.010186369084879217,0.010186369084879217,-0.010000020033026628,0.27885006834975545,0.09702659649081585,0.006436389809081169,0.006632405075939351,0.4922567413505169,0.4961650333047058,0.5260104868460453,0.5767737546520887,-0.033452336785721244,0.00502010011131647,-0.03704350006910431,-0.029861173502338172,1.0,0.0,-0.006972318678762591,0.0060443796168698815,-0.011296207380105618,-0.0026484299774195644,0.8,0.2,0.005369857103464615,0.005322644874463193,0.0015622663343939284,0.009177447872535301,0.8,0.8,-0.009062010651513663,0.0021587916718074523,-0.010606317182531237,-0.007517704120496088,1.0,0.0,-0.007943775063015817,0.0031551495419331974,-0.010200833077263678,-0.005686717048767956,1.0,0.0,-0.009249486439489628,0.0032326933496089564,-0.011562015952074975,-0.006936956926904282,1.0,0.0,orange_juice,False,orange_juice,False,milk,True,0.007100582504320147
G1_layout-A_target-milk_level-L0_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-milk_level-L0_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-milk_level-L0_seed-0000__6cf144611512.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,milk,orange_juice,left,pick up the milk and place it in the basket,pick up the orange juice and place it in the basket,0.1,L0,0,0,True,True,10,0.0,0.21810313813991267,0.2245131149191839,0.22451311491616482,-0.000629969414106426,0.000629969414106426,1.1874978028680871e-08,0.07202520804929803,0.09771588086076498,0.00640420580284368,0.006810832999249219,0.5173179192987172,0.555053573755025,0.5986813081589223,0.6515496024180836,-0.02368760876941389,0.004741557061645657,-0.027079514358599892,-0.020295703180227886,1.0,0.0,-0.008515695253541091,0.005234724973900879,-0.012260391914570717,-0.004770998592511465,0.9,0.1,0.0003965836729147423,0.0046444471142765365,-0.002925853644780595,0.00371902099061008,0.6,0.6,-0.01317073981553624,0.001622005059632091,-0.014331052336492086,-0.012010427294580394,1.0,0.0,-0.013004597742067497,0.00249247333979977,-0.014787605758685086,-0.011221589725449909,1.0,0.0,-0.012591767998925588,0.0026212792340561783,-0.014466918201531502,-0.010716617796319675,1.0,0.0,orange_juice,False,orange_juice,False,milk,True,0.0
G1_layout-A_target-milk_level-L1_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-milk_level-L1_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-milk_level-L1_seed-0000__f20464b0e0ae.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,milk,orange_juice,left,pick up the milk and place it in the basket,pick up the orange juice and place it in the basket,0.1,L1,1,0,True,True,10,0.0,0.21942237921862864,0.22597558528169476,0.22451311491616482,0.009811732870310891,0.009811732870310891,0.010000011253191075,0.33040232108672263,0.09822645033164792,0.006457124364928857,0.007205224109726354,0.5411684891850271,0.6067246206782665,0.6608466696299252,0.71496665203046,-0.01395763291515641,0.004097483479010488,-0.01688879601903969,-0.011026469811273129,1.0,0.0,-0.006194128282107204,0.004744135921034923,-0.009587878676166891,-0.002800377888047518,0.8,0.2,0.00478739862744053,0.004225683205484419,0.001764526963878306,0.007810270291002754,0.9,0.9,-0.01036908538493395,0.0016461522591154766,-0.011546671771800514,-0.009191498998067385,1.0,0.0,-0.009174433945086592,0.002301027250234247,-0.010820489679409021,-0.007528378210764163,1.0,0.0,-0.008739865281137424,0.0022912957140334644,-0.010378959493832747,-0.0071007710684421,1.0,0.0,orange_juice,False,orange_juice,False,milk,True,0.0060487028750117605
G1_layout-A_target-milk_level-L2_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-milk_level-L2_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-milk_level-L2_seed-0000__035d8055994a.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,milk,orange_juice,left,pick up the milk and place it in the basket,pick up the orange juice and place it in the basket,0.1,L2,2,0,True,True,10,0.0,0.2232957674097546,0.2299711436455725,0.22451311491616482,0.019792108981806812,0.019792108981806812,0.020000024463186675,0.3407379962609055,0.09854193252058045,0.006589545574005517,0.007685658127107677,0.5576104836962968,0.6464370930204907,0.7120754233895277,0.766724283416795,-0.019875589110024093,0.004753693321880898,-0.023276176456782247,-0.01647500176326594,1.0,0.0,0.006984611843094188,0.005147512396709355,0.003302303301447559,0.010666920384740817,1.0,1.0,0.0205730582214533,0.00412290379458093,0.017623710519274298,0.0235224059236323,1.0,1.0,-0.0016193063943181914,0.0016424005750932179,-0.002794208988110346,-0.00044440380052603685,0.9,0.1,0.0023603548317370398,0.0020978727711102115,0.0008596270570384538,0.0038610826064356257,0.9,0.9,0.0009407973774893628,0.0022899776746344988,-0.0006973539666195456,0.0025789487215982713,0.5,0.5,orange_juice,False,milk,True,milk,True,0.023808136435482515
G1_layout-A_target-milk_level-L3_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-milk_level-L3_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-milk_level-L3_seed-0000__eacedb5513a7.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,milk,orange_juice,left,pick up the milk and place it in the basket,pick up the orange juice and place it in the basket,0.1,L3,3,0,True,True,10,0.0,0.22917252492701176,0.2359683207444014,0.22451311491616482,0.02982694591236934,0.02982694591236934,0.030000034683222297,0.3615411183451362,0.09874235158977475,0.0067760333454491084,0.00815242911163147,0.5684911158569264,0.6750271258727415,0.7518825014849668,0.8080430981149089,-0.02057549187216394,0.004842203649793994,-0.024039395693246018,-0.01711158805108186,1.0,0.0,0.01546451535640971,0.005497466278810888,0.01153186488842432,0.0193971658243951,1.0,1.0,0.02267358746836589,0.004653564683507137,0.019344627834555615,0.026002547102176164,1.0,1.0,0.005160494582252938,0.002080778360548391,0.0036719954122035508,0.006648993752302326,1.0,1.0,0.009254204501021334,0.0024224719201894943,0.007521272483350944,0.010987136518691723,1.0,1.0,0.006581753399876293,0.0023242729426952097,0.004919068698917433,0.008244438100835152,1.0,1.0,orange_juice,False,milk,True,milk,True,0.05075299182535424
G1_layout-A_target-orange_juice_level-A1_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-orange_juice_level-A1_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-orange_juice_level-A1_seed-0000__2be942af05d1.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,orange_juice,milk,right,pick up the orange juice and place it in the basket,pick up the milk and place it in the basket,0.1,A1,-1,0,True,True,10,0.0,0.21948773298517138,0.226112842958743,0.2245161960418523,-0.010281531917879071,0.010281531917879071,-0.010000004796493347,0.2792513833419243,0.0967130413273967,0.00645794411943156,0.006646514128465502,0.4925594581967172,0.4964048962784004,0.5251882962123301,0.5764790569669713,0.028624755191209234,0.004279379800232393,0.02556347129776599,0.03168603908465248,1.0,1.0,0.007448184867709618,0.005200163472155205,0.003728212015635087,0.011168157719784149,1.0,1.0,-0.0017032138856453813,0.00508197100348391,-0.00533863693902009,0.0019322091677293274,0.6,0.4,0.005064489869666463,0.002664376988600836,0.0031585093907144385,0.006970470348618488,1.0,1.0,0.008375672994868846,0.002453057866871036,0.006620861109013624,0.010130484880724067,1.0,1.0,0.00943985569826036,0.002327899981762531,0.0077745763698564025,0.011105135026664317,1.0,1.0,orange_juice,True,orange_juice,True,milk,False,0.007046290344529589
G1_layout-A_target-orange_juice_level-L0_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-orange_juice_level-L0_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-orange_juice_level-L0_seed-0000__9f7245b5c971.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,orange_juice,milk,right,pick up the orange juice and place it in the basket,pick up the milk and place it in the basket,0.1,L0,0,0,True,True,10,0.0,0.21795198005255595,0.22451619604419593,0.2245161960418523,-0.0004297414665258982,0.0004297414665258982,1.0273218668983841e-08,0.07313628201756328,0.09735256642712334,0.0064024367655378675,0.006590255780844972,0.5185523464417932,0.5555835138214235,0.5985681865633454,0.6509806971717896,0.03177724659719961,0.005102466766498689,0.028127161758208778,0.035427331436190444,1.0,1.0,0.018922099976989383,0.0058606443842964566,0.014729647543141131,0.023114552410837635,1.0,1.0,0.014826722430039138,0.005191740051202206,0.011112775330315383,0.018540669529762896,1.0,1.0,0.010924631927484746,0.002576929877929585,0.009081207343060126,0.012768056511909365,1.0,1.0,0.018216892686552515,0.002695758250561214,0.016288463405138506,0.020145321967966524,1.0,1.0,0.018976222513571187,0.0027657383954829006,0.016997732452205382,0.02095471257493699,1.0,1.0,orange_juice,True,orange_juice,True,orange_juice,True,0.0
G1_layout-A_target-orange_juice_level-L1_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-orange_juice_level-L1_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-orange_juice_level-L1_seed-0000__bc2f38b8a70e.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,orange_juice,milk,right,pick up the orange juice and place it in the basket,pick up the milk and place it in the basket,0.1,L1,1,0,True,True,10,0.0,0.21934211717747054,0.22597863328037043,0.2245161960418523,0.009830643181035655,0.009830643181035655,0.010000012993730744,0.3102862764074769,0.09778270128639659,0.006452977318894147,0.006829091470329601,0.5420903178245169,0.6073366389931697,0.6613887006455378,0.7143784217896464,0.01841412923326892,0.004971473820297835,0.014857751102978628,0.02197050736355921,1.0,1.0,0.01975310209235525,0.004877548148801595,0.016263914339819385,0.023242289844891115,1.0,1.0,0.02116704869739431,0.0045743433011819715,0.017894760626532287,0.024439336768256333,1.0,1.0,0.010892710910140897,0.0026268793833163296,0.009013554602087168,0.012771867218194625,1.0,1.0,0.020376073434367457,0.0027923432985448708,0.018378551371863124,0.02237359549687179,1.0,1.0,0.020327229030924536,0.002630398810209794,0.018445555076537445,0.022208902985311627,1.0,1.0,orange_juice,True,orange_juice,True,orange_juice,True,0.006378180756051773
G1_layout-A_target-orange_juice_level-L2_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-orange_juice_level-L2_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-orange_juice_level-L2_seed-0000__c75536031fc3.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,orange_juice,milk,right,pick up the orange juice and place it in the basket,pick up the milk and place it in the basket,0.1,L2,2,0,True,True,10,0.0,0.22321724649668342,0.22997407408251933,0.2245161960418523,0.019893574937472902,0.019893574937472902,0.02000002484050281,0.33098500174965306,0.0980727263308753,0.006577994908694686,0.007227325809287899,0.5584980469735483,0.6459941068777868,0.7128248042483686,0.7664451886654391,0.016795832336139134,0.004863776547188677,0.01331649619392359,0.02027516847835468,1.0,1.0,0.01708656444826616,0.005085673611311288,0.013448492708811969,0.02072463618772035,1.0,1.0,0.02006863307806956,0.004720277680750216,0.01669194984096227,0.02344531631517685,1.0,1.0,0.0072707995232449574,0.0023267506435275145,0.005606342381884736,0.008935256664605179,1.0,1.0,0.01913520338392737,0.0024294138776821614,0.017397305389023524,0.020873101378831214,1.0,1.0,0.019614028299314183,0.0026837742467886645,0.017694171857760257,0.02153388474086811,1.0,1.0,orange_juice,True,orange_juice,True,orange_juice,True,0.02415791975304759
G1_layout-A_target-orange_juice_level-L3_seed-0000,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/rollouts/episodes/G1_layout-A_target-orange_juice_level-L3_seed-0000.h5,/home/hci-lab/repos/openpi/artifacts/pi05_libero_spatial_legibility_formal_seed0_20260818/observer/raw/G1_layout-A_target-orange_juice_level-L3_seed-0000__1bcc69ed7608.npz,52ee2b0ee4b640e775c665514feabacf7c1427b8bf699b51ea877e5b8f45c8e5,G1,A,orange_juice,milk,right,pick up the orange juice and place it in the basket,pick up the milk and place it in the basket,0.1,L3,3,0,True,True,10,0.0,0.22907640200876014,0.23597106185858177,0.2245161960418523,0.029950214473534045,0.029950214473534045,0.030000039419807754,0.3517909649939129,0.09827646476380227,0.006757182693665618,0.007643884156920672,0.5694377161312708,0.674149845492286,0.7524602338924411,0.8081279608386814,0.027255693629309928,0.004500783898685412,0.024036026785024193,0.030475360473595663,1.0,1.0,0.024596202496798173,0.004639710571395389,0.021277153497763372,0.027915251495832974,1.0,1.0,0.02814848057627613,0.00419756715527581,0.02514572192339975,0.031151239229152514,1.0,1.0,0.011592486123634838,0.0019775770338767416,0.010177812735327172,0.013007159511942503,1.0,1.0,0.02502468042774142,0.0024107037232175307,0.023300166871045955,0.026749193984436884,1.0,1.0,0.026072608787582646,0.002661744454617891,0.02416851150999557,0.02797670606516972,1.0,1.0,orange_juice,True,orange_juice,True,orange_juice,True,0.05104070150462364
