visual_condition,prefix,base_frame_accuracy,camera_frame_accuracy,base_frame_seed_pooled_accuracy,camera_frame_seed_pooled_accuracy
original,0.1,1.0,0.0,1.0,0.0
original,0.2,1.0,0.0,0.95,0.05
original,0.3,1.0,0.0,0.95,0.05
original,0.4,1.0,0.0,0.8,0.2
original,1.0,0.5,0.5,0.5,0.5
exterior_hflip,0.1,1.0,0.0,0.75,0.25
exterior_hflip,0.2,1.0,0.0,0.95,0.05
exterior_hflip,0.3,1.0,0.0,0.95,0.05
exterior_hflip,0.4,1.0,0.0,0.95,0.05
exterior_hflip,1.0,1.0,0.0,0.85,0.15
wrist_hflip,0.1,1.0,0.0,0.9,0.1
wrist_hflip,0.2,1.0,0.0,0.95,0.05
wrist_hflip,0.3,1.0,0.0,0.9,0.1
wrist_hflip,0.4,0.5,0.5,0.65,0.35
wrist_hflip,1.0,0.5,0.5,0.55,0.45
both_hflip,0.1,1.0,0.0,0.85,0.15
both_hflip,0.2,1.0,0.0,1.0,0.0
both_hflip,0.3,1.0,0.0,0.95,0.05
both_hflip,0.4,1.0,0.0,1.0,0.0
both_hflip,1.0,0.5,0.5,0.5,0.5
