episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,pregrasp_chunks,num_seeds,margin_10pct,prediction_color_10pct,prediction_side_10pct,correct_10pct,seed_correct_rate_10pct,seed_prediction_agreement_10pct,margin_20pct,prediction_color_20pct,prediction_side_20pct,correct_20pct,seed_correct_rate_20pct,seed_prediction_agreement_20pct,margin_30pct,prediction_color_30pct,prediction_side_30pct,correct_30pct,seed_correct_rate_30pct,seed_prediction_agreement_30pct,margin_40pct,prediction_color_40pct,prediction_side_40pct,correct_40pct,seed_correct_rate_40pct,seed_prediction_agreement_40pct,margin_100pct,prediction_color_100pct,prediction_side_100pct,correct_100pct,seed_correct_rate_100pct,seed_prediction_agreement_100pct,early_correct_20_to_40pct,late_reversal,flat_final_score,flat_final_prediction_color,flat_final_prediction_side,flat_correct,flat_seed_correct_rate,flat_seed_prediction_agreement,linear_final_score,linear_final_prediction_color,linear_final_prediction_side,linear_correct,linear_seed_correct_rate,linear_seed_prediction_agreement,exponential_final_score,exponential_final_prediction_color,exponential_final_prediction_side,exponential_correct,exponential_seed_correct_rate,exponential_seed_prediction_agreement,flat_final_prediction_stable_80pct,mean_chunk_sign_seed_agreement,minimum_chunk_sign_seed_agreement
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,8,10,0.011892627701163293,red,right,0,0.0,1.0,0.025394118130207068,red,right,0,0.0,1.0,0.03965898975729942,red,right,0,0.0,1.0,0.05323302149772645,red,right,0,0.0,1.0,-0.004669418931007384,blue,left,1,0.5,0.5,0,0,-0.000583677366375923,blue,left,1,0.5,0.5,0.008037190139293672,red,right,0,0.1,0.9,0.011486562420213738,red,right,0,0.0,1.0,0,0.9624999999999999,0.8
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,8,10,0.03729439973831177,red,right,0,0.0,1.0,0.06734633535146714,red,right,0,0.0,1.0,0.0970289060473442,red,right,0,0.0,1.0,0.12662476181983948,red,right,0,0.0,1.0,0.07086809575557709,red,right,0,0.0,1.0,0,0,0.008858511969447137,red,right,0,0.0,1.0,0.0244566425267193,red,right,0,0.0,1.0,0.03029513233878368,red,right,0,0.0,1.0,1,0.925,0.6
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,4.0,0.3389097514813868,blue,left,left,right,pick up the blue block,10,10,0.015230911374092103,red,right,0,0.0,1.0,0.052684404700994496,red,right,0,0.0,1.0,0.08211866229772567,red,right,0,0.0,1.0,0.09981893241405489,red,right,0,0.0,1.0,-0.10901921242475508,blue,left,1,1.0,1.0,0,0,-0.010901921242475509,blue,left,1,1.0,1.0,0.0040565016594800085,red,right,0,0.1,0.9,0.010664892693765445,red,right,0,0.0,1.0,1,0.99,0.9
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,0.0,0.0,red,right,left,right,pick up the red block,8,10,0.006276807524263859,red,right,1,0.8,0.8,0.00874323472380638,red,right,1,0.8,0.8,0.004934980422258378,red,right,1,0.7,0.7,-0.011275351941585547,blue,left,0,0.2,0.8,0.07714910954236984,red,right,1,1.0,1.0,1,0,0.00964363869279623,red,right,1,1.0,1.0,-9.202369385295417e-05,blue,left,0,0.5,0.5,0.00012787788769808074,red,right,1,0.5,0.5,1,0.8625,0.4
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,2.0,0.1694548757406934,red,right,left,right,pick up the red block,8,10,0.01584737777709961,red,right,1,0.8,0.8,0.03487093448638916,red,right,1,1.0,1.0,0.039887041449546815,red,right,1,1.0,1.0,0.032308453023433686,red,right,1,1.0,1.0,0.24649782627820968,red,right,1,1.0,1.0,1,0,0.03081222828477621,red,right,1,1.0,1.0,0.019469315641456177,red,right,1,1.0,1.0,0.018119000094432437,red,right,1,1.0,1.0,1,0.8125,0.5
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,4.0,0.3389097514813868,red,right,left,right,pick up the red block,10,10,0.03322617396712303,red,right,1,0.8,0.8,0.045795835852622986,red,right,1,1.0,1.0,0.034997297637164596,red,right,1,0.8,0.8,0.025252576470375057,red,right,1,0.8,0.8,0.12298564165830612,red,right,1,1.0,1.0,1,0,0.012298564165830613,red,right,1,1.0,1.0,0.008027918989008124,red,right,1,0.9,0.9,0.010770818837059914,red,right,1,0.9,0.9,1,0.8800000000000001,0.7
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,0.0,0.0,red,left,right,left,pick up the red block,8,10,-0.0024435301125049595,blue,right,0,0.6,0.4,0.01874994494020939,red,left,1,0.8,0.8,0.04561840273439884,red,left,1,0.8,0.8,0.04492446303367615,red,left,1,0.8,0.8,0.17632185816764834,red,left,1,1.0,1.0,1,0,0.022040232270956042,red,left,1,1.0,1.0,0.02100457756055726,red,left,1,1.0,1.0,0.018289948717099262,red,left,1,1.0,1.0,1,0.85,0.4
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,2.0,0.1694548757406934,red,left,right,left,pick up the red block,8,10,-0.01182523250579834,blue,right,0,0.2,0.8,-0.012081981301307679,blue,right,0,0.3,0.7,-0.03736474990844726,blue,right,0,0.1,0.9,-0.08858670890331269,blue,right,0,0.0,1.0,-0.14714392125606537,blue,right,0,0.0,1.0,0,0,-0.018392990157008172,blue,right,0,0.0,1.0,-0.025560482881135414,blue,right,0,0.0,1.0,-0.022818914332244193,blue,right,0,0.1,0.9,1,0.9375,0.7
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,4.0,0.3389097514813868,red,left,right,left,pick up the red block,10,10,0.0002299795299768448,red,left,1,0.5,0.5,-0.022079293504357344,blue,right,0,0.2,0.8,-0.05002286504954099,blue,right,0,0.0,1.0,-0.03819287925958633,blue,right,0,0.1,0.9,0.039262416958808895,red,left,1,0.9,0.9,0,0,0.00392624169588089,red,left,1,0.9,0.9,-0.003238180713220076,blue,right,0,0.1,0.9,-0.0051890025933946414,blue,right,0,0.1,0.9,1,0.9099999999999999,0.5
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,0.0,0.0,blue,right,right,left,pick up the blue block,8,10,-0.026039567142724998,blue,right,1,1.0,1.0,-0.023939331173896787,blue,right,1,1.0,1.0,0.004044029191136353,red,left,0,0.4,0.6,0.05932806342840196,red,left,0,0.0,1.0,0.06916215270757675,red,left,0,0.0,1.0,1,1,0.008645269088447094,red,left,0,0.0,1.0,0.01613185790677865,red,left,0,0.0,1.0,0.01143101031163835,red,left,0,0.0,1.0,1,0.9625,0.8
