decision,pair_type,num_pairs,both_correct_rate,desired_prediction_relation_rate,mean_oriented_score_difference
10pct,same_geometry_side_color_swap,12,0.16666666666666666,0.5,-0.020677601631420354
10pct,same_target_color_side_swap,12,0.25,0.6666666666666666,0.024042636966332794
20pct,same_geometry_side_color_swap,12,0.08333333333333333,0.4166666666666667,-0.056336826674329744
20pct,same_target_color_side_swap,12,0.16666666666666666,0.5833333333333334,0.044122254095661145
30pct,same_geometry_side_color_swap,12,0.0,0.4166666666666667,-0.08674276103265582
30pct,same_target_color_side_swap,12,0.08333333333333333,0.5833333333333334,0.06022463730225958
40pct,same_geometry_side_color_swap,12,0.0,0.4166666666666667,-0.11062933507996299
40pct,same_target_color_side_swap,12,0.08333333333333333,0.5833333333333334,0.07834517255735894
100pct,same_geometry_side_color_swap,12,0.5,0.5833333333333334,0.11407759431749583
100pct,same_target_color_side_swap,12,0.5,0.5833333333333334,0.16311948665728168
flat,same_geometry_side_color_swap,12,0.5,0.5833333333333334,0.012377762466838414
flat,same_target_color_side_swap,12,0.5,0.5833333333333334,0.018371025462844956
linear,same_geometry_side_color_swap,12,0.08333333333333333,0.5,-0.010796546064950651
linear,same_target_color_side_swap,12,0.08333333333333333,0.5,0.020241177635681295
exponential,same_geometry_side_color_swap,12,0.0,0.4166666666666667,-0.01808102963559049
exponential,same_target_color_side_swap,12,0.08333333333333333,0.5833333333333334,0.02172737852159865
