decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
10pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,blue,0.011892627701163293,-0.0024435301125049595,0,1,-0.014336157813668253
10pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.03729439973831177,-0.01182523250579834,0,1,-0.04911963224411011
10pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,red,0.015230911374092103,0.0002299795299768448,0,0,-0.015000931844115257
10pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,blue,red,-0.026039567142724998,0.006276807524263859,1,1,0.032316374666988855
10pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.01445608377456665,0.01584737777709961,1,1,0.030303461551666258
10pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,red,0.04205635987222195,0.03322617396712303,0,0,-0.008830185905098917
10pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,red,blue,0.10236824937164785,-0.0074344977736473085,0,1,-0.10980274714529516
10pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,red,red,0.06588305823504924,0.028061447963118553,0,0,-0.037821610271930685
10pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.04768594907596707,0.00544559680856764,0,0,-0.04224035226739943
10pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,blue,0.04206297190859914,-0.003209838643670082,0,1,-0.04527281055226922
10pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.027478794604539877,0.008411174118518829,0,0,-0.01906762048602105
10pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.014290658617392184,0.045031651351600886,0,0,0.030740992734208702
