decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
10pct,overall,all,24,0.4166666666666667,0.4166666666666667,0.25,0.6666666666666666,0.02014022664943089
10pct,target_color,blue,12,0.16666666666666666,0.18333333333333335,0.16666666666666666,0.6666666666666666,0.03047902746514107
10pct,target_color,red,12,0.6666666666666666,0.65,0.3333333333333333,0.6666666666666666,0.009801425833720713
10pct,target_side,left,12,0.25,0.26666666666666666,0.25,0.75,0.024365746617161982
10pct,target_side,right,12,0.5833333333333334,0.5666666666666668,0.25,0.5833333333333334,0.015914706681699805
10pct,layout,L1,12,0.5,0.46666666666666673,0.3333333333333333,0.8333333333333334,0.008940851995721458
10pct,layout,L3,12,0.3333333333333333,0.3666666666666667,0.16666666666666666,0.5,0.03133960130314033
10pct,blue_side,left,12,0.4166666666666667,0.3833333333333333,0.08333333333333333,0.9166666666666666,0.03216154513259729
10pct,blue_side,right,12,0.4166666666666667,0.45,0.4166666666666667,0.4166666666666667,0.008118908166264495
10pct,condition,C0,8,0.25,0.41250000000000003,0.5,0.75,0.015434152854140848
10pct,condition,C1,8,0.5,0.4625,0.25,0.75,0.01958686701953411
10pct,condition,C2,8,0.5,0.375,0.0,0.5,0.025399660074617716
10pct,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.046725865916038556
10pct,target_color_x_side,blue/right,6,0.3333333333333333,0.3666666666666667,0.3333333333333333,0.3333333333333333,0.014232189014243585
10pct,target_color_x_side,red/left,6,0.5,0.5333333333333333,0.5,0.5,0.002005627318285405
10pct,target_color_x_side,red/right,6,0.8333333333333334,0.7666666666666667,0.16666666666666666,0.8333333333333334,0.01759722434915602
10pct,layout_x_side,L1/left,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.8333333333333334,0.008396525954206785
10pct,layout_x_side,L1/right,6,0.8333333333333334,0.7166666666666668,0.3333333333333333,0.8333333333333334,0.009485178037236133
10pct,layout_x_side,L3/left,6,0.3333333333333333,0.31666666666666665,0.16666666666666666,0.6666666666666666,0.04033496728011717
10pct,layout_x_side,L3/right,6,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.02234423532616347
10pct,layout_x_blue_side,L1/left,6,0.5,0.4000000000000001,0.0,1.0,0.019961383013675612
