episode_id,layout_id,condition,target_color,target_side,blue_block_side,red_block_side,color_10pct_score,color_10pct_prediction,color_10pct_implied_side,color_10pct_correct,color_10pct_seed_correct_rate,side_10pct_score,side_10pct_prediction,side_10pct_correct,side_10pct_seed_correct_rate,color_20pct_score,color_20pct_prediction,color_20pct_implied_side,color_20pct_correct,color_20pct_seed_correct_rate,side_20pct_score,side_20pct_prediction,side_20pct_correct,side_20pct_seed_correct_rate,color_30pct_score,color_30pct_prediction,color_30pct_implied_side,color_30pct_correct,color_30pct_seed_correct_rate,side_30pct_score,side_30pct_prediction,side_30pct_correct,side_30pct_seed_correct_rate,color_40pct_score,color_40pct_prediction,color_40pct_implied_side,color_40pct_correct,color_40pct_seed_correct_rate,side_40pct_score,side_40pct_prediction,side_40pct_correct,side_40pct_seed_correct_rate,color_100pct_score,color_100pct_prediction,color_100pct_implied_side,color_100pct_correct,color_100pct_seed_correct_rate,side_100pct_score,side_100pct_prediction,side_100pct_correct,side_100pct_seed_correct_rate,color_flat_score,color_flat_prediction,color_flat_implied_side,color_flat_correct,color_flat_seed_correct_rate,side_flat_score,side_flat_prediction,side_flat_correct,side_flat_seed_correct_rate,color_linear_score,color_linear_prediction,color_linear_implied_side,color_linear_correct,color_linear_seed_correct_rate,side_linear_score,side_linear_prediction,side_linear_correct,side_linear_seed_correct_rate,color_exponential_score,color_exponential_prediction,color_exponential_implied_side,color_exponential_correct,color_exponential_seed_correct_rate,side_exponential_score,side_exponential_prediction,side_exponential_correct,side_exponential_seed_correct_rate
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,0.011892627701163293,red,R,0,0.0,-0.0035302220657467843,L,1,0.6,0.025394118130207068,red,R,0,0.0,-0.02559907756745816,L,1,0.7,0.03965898975729942,red,R,0,0.0,-0.06680342387408017,L,1,1.0,0.05323302149772645,red,R,0,0.0,-0.13254193738102915,L,1,1.0,-0.004669418931007384,blue,L,1,0.5,-0.25755567774176596,L,1,1.0,-0.000583677366375923,blue,L,1,0.5,-0.032194459717720746,L,1,1.0,0.008037190139293672,red,R,0,0.1,-0.04013207064320643,L,1,1.0,0.011486562420213738,red,R,0,0.0,-0.03750884594709192,L,1,1.0
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,0.03729439973831177,red,R,0,0.0,-0.035210366249084475,L,1,1.0,0.06734633535146714,red,R,0,0.0,-0.08088519394397736,L,1,1.0,0.0970289060473442,red,R,0,0.0,-0.1186099100112915,L,1,1.0,0.12662476181983948,red,R,0,0.0,-0.13805630683898926,L,1,1.0,0.07086809575557709,red,R,0,0.0,-0.13894421756267547,L,1,1.0,0.008858511969447137,red,R,0,0.0,-0.017368027195334434,L,1,1.0,0.0244566425267193,red,R,0,0.0,-0.027405313567982776,L,1,1.0,0.03029513233878368,red,R,0,0.0,-0.03358731420739049,L,1,1.0
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,0.015230911374092103,red,R,0,0.0,-0.035582328736782076,L,1,1.0,0.052684404700994496,red,R,0,0.0,-0.0940979239344597,L,1,1.0,0.08211866229772567,red,R,0,0.0,-0.13063352901488542,L,1,1.0,0.09981893241405489,red,R,0,0.0,-0.12274928793311118,L,1,1.0,-0.10901921242475508,blue,L,1,1.0,-0.011029730737209318,L,1,0.5,-0.010901921242475509,blue,L,1,1.0,-0.0011029730737209319,L,1,0.5,0.0040565016594800085,red,R,0,0.1,-0.009047772125764329,L,1,1.0,0.010664892693765445,red,R,0,0.0,-0.018081731330699128,L,1,1.0
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,0.006276807524263859,red,R,1,0.8,-0.01674908854067326,L,0,0.0,0.00874323472380638,red,R,1,0.8,-0.04204729117453099,L,0,0.0,0.004934980422258378,red,R,1,0.7,-0.07141407741233707,L,0,0.0,-0.011275351941585547,blue,L,0,0.2,-0.09714811362326146,L,0,0.0,0.07714910954236984,red,R,1,1.0,-0.11660549640655518,L,0,0.0,0.00964363869279623,red,R,1,1.0,-0.014575687050819398,L,0,0.0,-9.202369385295417e-05,blue,L,0,0.5,-0.020093260622686807,L,0,0.0,0.00012787788769808074,red,R,1,0.5,-0.023345357554027234,L,0,0.0
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,0.01584737777709961,red,R,1,0.8,0.008667736053466797,R,1,0.6,0.03487093448638916,red,R,1,1.0,-0.0212580680847168,L,0,0.3,0.039887041449546815,red,R,1,1.0,-0.05825803279876708,L,0,0.1,0.032308453023433686,red,R,1,1.0,-0.07790539652109145,L,0,0.0,0.24649782627820968,red,R,1,1.0,-0.12651907950639724,L,0,0.0,0.03081222828477621,red,R,1,1.0,-0.015814884938299655,L,0,0.0,0.019469315641456177,red,R,1,1.0,-0.016821437494622334,L,0,0.0,0.018119000094432437,red,R,1,1.0,-0.015639582198370878,L,0,0.2
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,0.03322617396712303,red,R,1,0.8,0.00995220310986042,R,1,0.6,0.045795835852622986,red,R,1,1.0,0.002930339649319647,R,1,0.5,0.034997297637164596,red,R,1,0.8,-0.04359186638146637,L,0,0.2,0.025252576470375057,red,R,1,0.8,-0.060852957069873814,L,0,0.1,0.12298564165830612,red,R,1,1.0,-0.15943441689014434,L,0,0.0,0.012298564165830613,red,R,1,1.0,-0.015943441689014435,L,0,0.0,0.008027918989008124,red,R,1,0.9,-0.015757990073073994,L,0,0.0,0.010770818837059914,red,R,1,0.9,-0.012774264389524713,L,0,0.1
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,-0.0024435301125049595,blue,R,0,0.6,-0.05989019569009543,L,1,1.0,0.01874994494020939,red,L,1,0.8,-0.12437491819262506,L,1,1.0,0.04561840273439884,red,L,1,0.8,-0.1885506163164973,L,1,1.0,0.04492446303367615,red,L,1,0.8,-0.2429306863248348,L,1,1.0,0.17632185816764834,red,L,1,1.0,-0.31708127632737154,L,1,1.0,0.022040232270956042,red,L,1,1.0,-0.03963515954092144,L,1,1.0,0.02100457756055726,red,L,1,1.0,-0.05699959345575836,L,1,1.0,0.018289948717099262,red,L,1,1.0,-0.06605674672676652,L,1,1.0
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,-0.01182523250579834,blue,R,0,0.2,-0.04876137971878052,L,1,1.0,-0.012081981301307679,blue,R,0,0.3,-0.12233700513839724,L,1,1.0,-0.03736474990844726,blue,R,0,0.1,-0.17713469445705413,L,1,1.0,-0.08858670890331269,blue,R,0,0.0,-0.2010676884651184,L,1,1.0,-0.14714392125606537,blue,R,0,0.0,-0.21278927028179165,L,1,1.0,-0.018392990157008172,blue,R,0,0.0,-0.026598658785223956,L,1,1.0,-0.025560482881135414,blue,R,0,0.0,-0.042057048446602296,L,1,1.0,-0.022818914332244193,blue,R,0,0.1,-0.05073438024668361,L,1,1.0
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,0.0002299795299768448,red,L,1,0.5,-0.07029699303209783,L,1,1.0,-0.022079293504357344,blue,R,0,0.2,-0.15007701799273493,L,1,1.0,-0.05002286504954099,blue,R,0,0.0,-0.21094686053693293,L,1,1.0,-0.03819287925958633,blue,R,0,0.1,-0.22784163132309915,L,1,1.0,0.039262416958808895,red,L,1,0.9,-0.18605044931173326,L,1,1.0,0.00392624169588089,red,L,1,0.9,-0.018605044931173327,L,1,1.0,-0.003238180713220076,blue,R,0,0.1,-0.03314652659676292,L,1,1.0,-0.0051890025933946414,blue,R,0,0.1,-0.04417930774729493,L,1,1.0
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,-0.026039567142724998,blue,R,1,1.0,0.02741661187261343,R,1,0.9,-0.023939331173896787,blue,R,1,1.0,0.01564994871616363,R,1,0.7,0.004044029191136353,red,L,0,0.4,-0.023208055086433886,L,0,0.5,0.05932806342840196,red,L,0,0.0,-0.07195350602269174,L,0,0.1,0.06916215270757675,red,L,0,0.0,-0.12077378332614896,L,0,0.0,0.008645269088447094,red,L,0,0.0,-0.01509672291576862,L,0,0.0,0.01613185790677865,red,L,0,0.0,-0.015275884957777128,L,0,0.1,0.01143101031163835,red,L,0,0.0,-0.0113308318322678,L,0,0.3
