episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_blue_mean,energy_red_mean,local_margin_blue_minus_red_mean,local_margin_seed_sd,red_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,cartesian_x,cartesian_y,cartesian_z,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,0,0,16,16,0.13793103448275862,10,0.3338677197694778,0.29325342625379563,0.04061429351568222,0.01090125977846265,1.0,1.0,0.0,0.38145551085472107,0.0021811791229993105,0.4664916396141052,0.04061429351568222,0.04061429351568222,0.04061429351568222,0.04061429351568222
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,1,16,32,16,0.27586206896551724,10,0.2695963948965073,0.2305559054017067,0.039040489494800566,0.010802375321026503,1.0,1.0,0.0,0.42407873272895813,0.005680404137820005,0.41256415843963623,0.07965478301048279,0.039827391505241394,0.03987985163927078,0.03997323057285054
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,2,32,48,16,0.41379310344827586,10,0.2408119648694992,0.21928360909223557,0.02152835577726364,0.016963042316406777,0.9,0.9,0.1,0.47257158160209656,0.01141748670488596,0.3632127642631531,0.10118313878774643,0.03372771292924881,0.03463656710726874,0.03593891093926777
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,3,48,64,16,0.5517241379310345,10,0.2369835689663887,0.25244498550891875,-0.01546141654253006,0.01620853091871182,0.2,0.8,0.8,0.5210071206092834,0.018530013039708138,0.31376373767852783,0.08572172224521638,0.021430430561304094,0.025002339482307435,0.029221852856160076
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,4,64,80,16,0.6896551724137931,10,0.16604415625333785,0.22803542464971543,-0.061991268396377565,0.008962451765814445,0.0,1.0,1.0,0.569491982460022,0.026051515713334084,0.2639348804950714,0.02373045384883881,0.004746090769767762,0.013403191765149435,0.021704637355002325
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,5,80,96,16,0.8275862068965517,10,0.22808511555194855,0.28343374133110044,-0.055348625779151915,0.019533096357410316,0.0,1.0,1.0,0.6181511878967285,0.03348023071885109,0.214024618268013,-0.031618171930313105,-0.005269695321718851,0.0071530265338493135,0.017574139673373436
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,6,96,112,16,0.9655172413793104,10,0.23086590468883514,0.23630015105009078,-0.005434246361255645,0.011906799724459542,0.4,0.6,0.6,0.6420998573303223,0.037117213010787964,0.18957950174808502,-0.03705241829156875,-0.00529320261308125,0.006433753796986173,0.01675657104845433
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,7,112,116,4,1.0,10,0.2428292453289032,0.2672063305974007,-0.024377085268497467,0.007601539169268435,0.0,1.0,1.0,0.642103910446167,0.03714887425303459,0.1895769089460373,-0.06142950356006622,-0.007678687945008277,0.005577897156278294,0.01577596146165613
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,0,0,16,16,0.125,10,0.3208980828523636,0.3328663110733032,-0.011968228220939636,0.011807024213364999,0.2,0.8,0.8,0.37176400423049927,0.024138767272233963,0.4780213534832001,-0.011968228220939636,-0.011968228220939636,-0.011968228220939636,-0.011968228220939636
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,1,16,32,16,0.25,10,0.3473197162151337,0.29365164041519165,0.05366807579994202,0.018280979522920945,1.0,1.0,0.0,0.4015202820301056,0.07162616401910782,0.4381272494792938,0.041699847579002386,0.020849923789501193,0.018662046988805137,0.014767630662334453
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,2,32,48,16,0.375,10,0.3318178281188011,0.2760613143444061,0.055756513774394986,0.03337069387893191,0.9,0.9,0.1,0.44498148560523987,0.10130584985017776,0.39268290996551514,0.09745636135339737,0.03248545378446579,0.029260466070402235,0.023732844995867322
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,3,48,64,16,0.5,10,0.25703922659158707,0.2481299966573715,0.008909229934215546,0.028833769861958382,0.6,0.6,0.4,0.49236437678337097,0.11124811321496964,0.343144953250885,0.10636559128761292,0.02659139782190323,0.025346766813443257,0.02179567672770783
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,4,64,80,16,0.625,10,0.28032145500183103,0.2665353998541832,0.013786055147647858,0.0177601720318305,0.7,0.7,0.3,0.5397839546203613,0.10149547457695007,0.2944670021533966,0.12015164643526077,0.024030329287052156,0.023805338591337204,0.02113557376583973
