episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,pregrasp_chunks,num_seeds,margin_10pct,prediction_color_10pct,prediction_side_10pct,correct_10pct,seed_correct_rate_10pct,seed_prediction_agreement_10pct,margin_20pct,prediction_color_20pct,prediction_side_20pct,correct_20pct,seed_correct_rate_20pct,seed_prediction_agreement_20pct,margin_30pct,prediction_color_30pct,prediction_side_30pct,correct_30pct,seed_correct_rate_30pct,seed_prediction_agreement_30pct,margin_40pct,prediction_color_40pct,prediction_side_40pct,correct_40pct,seed_correct_rate_40pct,seed_prediction_agreement_40pct,margin_100pct,prediction_color_100pct,prediction_side_100pct,correct_100pct,seed_correct_rate_100pct,seed_prediction_agreement_100pct,early_correct_20_to_40pct,late_reversal,flat_final_score,flat_final_prediction_color,flat_final_prediction_side,flat_correct,flat_seed_correct_rate,flat_seed_prediction_agreement,linear_final_score,linear_final_prediction_color,linear_final_prediction_side,linear_correct,linear_seed_correct_rate,linear_seed_prediction_agreement,exponential_final_score,exponential_final_prediction_color,exponential_final_prediction_side,exponential_correct,exponential_seed_correct_rate,exponential_seed_prediction_agreement,flat_final_prediction_stable_80pct,mean_chunk_sign_seed_agreement,minimum_chunk_sign_seed_agreement
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,8,10,0.029445362798869612,red,right,0,0.0,1.0,0.05818251378834248,red,right,0,0.0,1.0,0.08342224527150392,red,right,0,0.0,1.0,0.09903030321002007,red,right,0,0.0,1.0,-0.06142950356006622,blue,left,1,1.0,1.0,0,0,-0.007678687945008277,blue,left,1,1.0,1.0,0.005577897156278294,red,right,0,0.1,0.9,0.01577596146165613,red,right,0,0.0,1.0,1,0.9125000000000001,0.6
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,8,10,-0.009574582576751709,blue,left,1,0.8,0.8,0.020232617259025584,red,right,0,0.2,0.8,0.06400245308876037,red,right,0,0.0,1.0,0.09923820734024048,red,right,0,0.0,1.0,0.048558303713798504,red,right,0,0.2,0.8,0,0,0.006069787964224813,red,right,0,0.2,0.8,0.017193097828163043,red,right,0,0.0,1.0,0.016950189337708994,red,right,0,0.0,1.0,1,0.875,0.6
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,4.0,0.3389097514813868,blue,left,left,right,pick up the blue block,10,10,-0.012531914301216602,blue,left,1,0.8,0.8,0.0093422643840313,red,right,0,0.2,0.8,0.06951678443700074,red,right,0,0.0,1.0,0.10782392427325249,red,right,0,0.0,1.0,0.02882699668407441,red,right,0,0.4,0.6,0,0,0.002882699668407441,red,right,0,0.4,0.6,0.010455278889699417,red,right,0,0.0,1.0,0.01133132287975628,red,right,0,0.0,1.0,0,0.9199999999999999,0.5
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,0.0,0.0,red,right,left,right,pick up the red block,8,10,0.0229085922986269,red,right,1,1.0,1.0,0.06415133848786354,red,right,1,1.0,1.0,0.10793445251882075,red,right,1,1.0,1.0,0.12448836356401444,red,right,1,1.0,1.0,0.260083881765604,red,right,1,1.0,1.0,1,0,0.0325104852207005,red,right,1,1.0,1.0,0.032100517426927884,red,right,1,1.0,1.0,0.03507422437700702,red,right,1,1.0,1.0,1,0.9875,0.9
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,2.0,0.1694548757406934,red,right,left,right,pick up the red block,8,10,-0.038081895112991336,blue,left,0,0.0,1.0,-0.04070768982172012,blue,left,0,0.0,1.0,-0.042908684313297266,blue,left,0,0.0,1.0,-0.04864877223968505,blue,left,0,0.0,1.0,0.17810697108507156,red,right,1,1.0,1.0,0,0,0.022263371385633945,red,right,1,1.0,1.0,0.008183847119410835,red,right,1,0.8,0.8,-0.003061582013110614,blue,left,0,0.5,0.5,1,0.9,0.5
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,4.0,0.3389097514813868,red,right,left,right,pick up the red block,10,10,-0.014344005212187767,blue,left,0,0.2,0.8,-0.0047468152642250044,blue,left,0,0.4,0.6,-0.023758106566965573,blue,left,0,0.3,0.7,-0.032412376999855046,blue,left,0,0.2,0.8,0.060053677856922144,red,right,1,1.0,1.0,0,0,0.006005367785692215,red,right,1,1.0,1.0,-0.0009269588914784529,blue,left,0,0.3,0.7,-0.00315569198863967,blue,left,0,0.3,0.7,1,0.8700000000000001,0.6
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,0.0,0.0,red,left,right,left,pick up the red block,8,10,0.03634883113205433,red,left,1,0.9,0.9,0.030263018161058423,red,left,1,0.8,0.8,-0.00048484265804290584,blue,right,0,0.5,0.5,-0.027240537405014045,blue,right,0,0.3,0.7,0.18887799009680747,red,left,1,1.0,1.0,1,0,0.023609748762100934,red,left,1,1.0,1.0,0.017989908220867316,red,left,1,1.0,1.0,0.015543078238543173,red,left,1,0.9,0.9,1,0.975,0.9
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,2.0,0.1694548757406934,red,left,right,left,pick up the red block,8,10,0.03798558473587036,red,left,1,1.0,1.0,0.004318290948867785,red,left,1,0.5,0.5,-0.032856470346450804,blue,right,0,0.1,0.9,-0.042245931327342987,blue,right,0,0.1,0.9,-0.07508805692195893,blue,right,0,0.1,0.9,1,1,-0.009386007115244866,blue,right,0,0.1,0.9,-0.010353846351305644,blue,right,0,0.0,1.0,-0.005495280223195078,blue,right,0,0.3,0.7,1,0.9625,0.7
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,4.0,0.3389097514813868,red,left,right,left,pick up the red block,10,10,0.06543150376528502,red,left,1,1.0,1.0,0.05101149171590805,red,left,1,1.0,1.0,0.026041817180812363,red,left,1,0.9,0.9,0.013310454487800593,red,left,1,0.5,0.5,-0.007293438911437994,blue,right,0,0.5,0.5,1,1,-0.0007293438911437994,blue,right,0,0.5,0.5,-7.926499301737158e-05,blue,right,0,0.5,0.5,0.0069940836922746715,red,left,1,0.8,0.8,0,0.9199999999999999,0.5
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,0.0,0.0,blue,right,right,left,pick up the blue block,8,10,0.061337030008435246,red,left,0,0.0,1.0,0.06470208518207073,red,left,0,0.0,1.0,0.03916433624923229,red,left,0,0.2,0.8,0.03413220226764678,red,left,0,0.3,0.7,-0.009504230320453645,blue,right,1,0.7,0.7,0,0,-0.0011880287900567056,blue,right,1,0.7,0.7,0.008928349283006455,red,left,0,0.2,0.8,0.017481499776049975,red,left,0,0.1,0.9,0,0.9375,0.7
