decision,pair_type,num_pairs,both_correct_rate,desired_prediction_relation_rate,mean_oriented_score_difference
10pct,same_geometry_side_color_swap,12,0.3333333333333333,0.75,-0.01799006445022921
10pct,same_target_color_side_swap,12,0.08333333333333333,0.25,-0.06569735157458732
20pct,same_geometry_side_color_swap,12,0.0,0.3333333333333333,-0.04059982683509589
20pct,same_target_color_side_swap,12,0.16666666666666666,0.6666666666666666,-0.027105379138762747
30pct,same_geometry_side_color_swap,12,0.0,0.3333333333333333,-0.055628231223672636
30pct,same_target_color_side_swap,12,0.25,0.8333333333333334,0.03986125277820973
40pct,same_geometry_side_color_swap,12,0.16666666666666666,0.5,-0.05300600566590825
40pct,same_target_color_side_swap,12,0.25,0.6666666666666666,0.09592491792514918
100pct,same_geometry_side_color_swap,12,0.5833333333333334,0.75,0.15276253875344992
100pct,same_target_color_side_swap,12,0.4166666666666667,0.4166666666666667,0.20733121279627084
flat,same_geometry_side_color_swap,12,0.5833333333333334,0.75,0.01801873035921781
flat,same_target_color_side_swap,12,0.4166666666666667,0.4166666666666667,0.023822698346997673
linear,same_geometry_side_color_swap,12,0.16666666666666666,0.3333333333333333,0.0037494901140606176
linear,same_target_color_side_swap,12,0.3333333333333333,0.6666666666666666,0.024111451909874224
exponential,same_geometry_side_color_swap,12,0.08333333333333333,0.3333333333333333,-0.00342196495986373
exponential,same_target_color_side_swap,12,0.3333333333333333,0.8333333333333334,0.015363674874559863
