decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
10pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,red,0.029445362798869612,0.03634883113205433,0,0,0.006903468333184719
10pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,blue,red,-0.009574582576751709,0.03798558473587036,1,1,0.04756016731262207
10pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,blue,red,-0.012531914301216602,0.06543150376528502,1,1,0.07796341806650162
10pct,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.061337030008435246,0.0229085922986269,0,0,-0.03842843770980835
10pct,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,blue,0.0519385552406311,-0.038081895112991336,0,1,-0.09002045035362244
10pct,same_geometry_side_color_swap,L1,C2,right,2026_08_18_00_51_25_610649_L1_right_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.034709680974483494,-0.014344005212187767,0,1,-0.04905368618667126
10pct,same_geometry_side_color_swap,L3,C0,left,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_54_32_747715_L3_left_C0,blue,red,-0.0024232327938079837,0.05495724007487297,1,1,0.057380472868680955
10pct,same_geometry_side_color_swap,L3,C1,left,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_55_01_843645_L3_left_C1,blue,red,-0.03553984120488167,0.05124164566397667,1,1,0.08678148686885834
10pct,same_geometry_side_color_swap,L3,C2,left,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_55_32_860317_L3_left_C2,red,red,0.06169415342621505,0.07134886272251605,0,0,0.009654709296300995
10pct,same_geometry_side_color_swap,L3,C0,right,2026_08_18_00_52_54_907596_L3_right_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,blue,0.03363803864456713,-0.027011678740382197,0,1,-0.06064971738494933
10pct,same_geometry_side_color_swap,L3,C1,right,2026_08_18_00_53_23_339528_L3_right_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,blue,0.07590313006192445,-0.04841090485453606,0,1,-0.12431403491646051
10pct,same_geometry_side_color_swap,L3,C2,right,2026_08_18_00_53_52_283658_L3_right_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,blue,0.10873673362657428,-0.030921435970813035,0,1,-0.1396581695973873
10pct,same_target_color_side_swap,L1,C0,blue,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_50_22_202653_L1_right_C0,red,red,0.029445362798869612,0.061337030008435246,0,1,-0.031891667209565634
10pct,same_target_color_side_swap,L1,C1,blue,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_50_52_802516_L1_right_C1,blue,red,-0.009574582576751709,0.0519385552406311,0,0,-0.06151313781738281
10pct,same_target_color_side_swap,L1,C2,blue,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_51_25_610649_L1_right_C2,blue,red,-0.012531914301216602,0.034709680974483494,0,0,-0.0472415952757001
10pct,same_target_color_side_swap,L1,C0,red,2026_08_18_00_48_13_457980_L1_left_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.03634883113205433,0.0229085922986269,1,1,-0.013440238833427431
10pct,same_target_color_side_swap,L1,C1,red,2026_08_18_00_49_05_482404_L1_left_C1,2026_08_18_00_45_56_961481_L1_right_C1,red,blue,0.03798558473587036,-0.038081895112991336,0,0,-0.0760674798488617
10pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,blue,0.06543150376528502,-0.014344005212187767,0,0,-0.07977550897747279
10pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,blue,red,-0.0024232327938079837,0.03363803864456713,0,0,-0.03606127143837511
10pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,blue,red,-0.03553984120488167,0.07590313006192445,0,0,-0.11144297126680612
10pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,red,0.06169415342621505,0.10873673362657428,0,1,-0.04704258020035923
10pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,blue,0.05495724007487297,-0.027011678740382197,0,0,-0.08196891881525517
10pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,blue,0.05124164566397667,-0.04841090485453606,0,0,-0.09965255051851273
10pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,blue,0.07134886272251605,-0.030921435970813035,0,0,-0.10227029869332908
20pct,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,red,red,0.05818251378834248,0.030263018161058423,0,0,-0.027919495627284057
20pct,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,red,0.020232617259025584,0.004318290948867785,0,0,-0.015914326310157798
20pct,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,red,red,0.0093422643840313,0.05101149171590805,0,0,0.04166922733187675
