decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
10pct,overall,all,24,0.4583333333333333,0.42083333333333334,0.375,0.125,0.024116060600305595
10pct,target_color,blue,12,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.0331110928254202
10pct,target_color,red,12,0.5833333333333334,0.5916666666666667,0.4166666666666667,0.08333333333333333,0.015121028375190996
10pct,target_side,left,12,0.8333333333333334,0.7416666666666667,0.3333333333333333,0.16666666666666666,0.029031967786916843
10pct,target_side,right,12,0.08333333333333333,0.09999999999999999,0.4166666666666667,0.08333333333333333,0.01920015341369435
10pct,layout,L1,12,0.5,0.47500000000000003,0.3333333333333333,0.16666666666666666,0.022131061979259056
10pct,layout,L3,12,0.4166666666666667,0.3666666666666667,0.4166666666666667,0.08333333333333333,0.026101059221352137
10pct,blue_side,left,12,0.4166666666666667,0.35000000000000003,0.75,0.25,-0.008732615186988067
10pct,blue_side,right,12,0.5,0.4916666666666667,0.0,0.0,0.056964736387599274
10pct,condition,C0,8,0.5,0.425,0.25,0.25,0.0261500229279045
10pct,condition,C1,8,0.5,0.4625,0.5,0.0,0.010682711494155225
10pct,condition,C2,8,0.375,0.375,0.375,0.125,0.03551544737885706
10pct,target_color_x_side,blue/left,6,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.005178324224737783
10pct,target_color_x_side,blue/right,6,0.0,0.0,0.0,0.0,0.06104386142610262
10pct,target_color_x_side,red/left,6,1.0,0.9833333333333334,0.0,0.0,0.0528856113490959
10pct,target_color_x_side,red/right,6,0.16666666666666666,0.19999999999999998,0.8333333333333334,0.16666666666666666,-0.02264355459871392
10pct,layout_x_side,L1/left,6,0.8333333333333334,0.75,0.3333333333333333,0.16666666666666666,0.0245174642590185
10pct,layout_x_side,L1/right,6,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.16666666666666666,0.019744659699499605
10pct,layout_x_side,L3/left,6,0.8333333333333334,0.7333333333333334,0.3333333333333333,0.16666666666666666,0.033546471314815175
