prompt_family,decision,num_trajectories,original_accuracy,flipped_accuracy,accuracy_change,original_seed_pooled_accuracy,flipped_seed_pooled_accuracy,seed_pooled_accuracy_change,original_first_label_rate,flipped_first_label_rate,prediction_changed_count,improved_count,worsened_count,mean_score_delta_flip_minus_original
color,10pct,24,0.4166666666666667,0.4583333333333333,0.041666666666666664,0.4166666666666667,0.42083333333333334,0.004166666666666661,0.25,0.375,13,7,6,0.003975833950874706
color,20pct,24,0.375,0.3333333333333333,-0.041666666666666664,0.3625,0.37083333333333335,0.008333333333333331,0.20833333333333334,0.16666666666666666,9,4,5,0.00579905330125863
color,30pct,24,0.2916666666666667,0.3333333333333333,0.041666666666666664,0.2916666666666667,0.3541666666666667,0.06249999999999998,0.20833333333333334,0.16666666666666666,7,4,3,0.0090459985875835
color,40pct,24,0.2916666666666667,0.4166666666666667,0.125,0.26249999999999996,0.3916666666666666,0.12916666666666668,0.20833333333333334,0.25,9,6,3,0.0125437499412025
color,100pct,24,0.7083333333333334,0.7083333333333334,0.0,0.6666666666666666,0.7458333333333332,0.07916666666666666,0.2916666666666667,0.375,4,2,2,0.018998184055089948
color,flat,24,0.7083333333333334,0.7083333333333334,0.0,0.6666666666666666,0.7458333333333332,0.07916666666666666,0.2916666666666667,0.375,4,2,2,0.0019485197475835401
color,linear,24,0.3333333333333333,0.5,0.16666666666666666,0.4000000000000001,0.5458333333333334,0.14583333333333334,0.25,0.25,8,6,2,0.0024606455962082707
color,exponential,24,0.2916666666666667,0.4166666666666667,0.125,0.3416666666666666,0.45416666666666666,0.11249999999999998,0.20833333333333334,0.16666666666666666,7,5,2,0.0027898203945560147
side,10pct,24,0.7916666666666666,0.5416666666666666,-0.25,0.7125,0.5416666666666666,-0.17083333333333336,0.7083333333333334,0.9583333333333334,6,0,6,0.008033602957148106
side,20pct,24,0.6666666666666666,0.625,-0.041666666666666664,0.6416666666666667,0.6208333333333332,-0.020833333333333332,0.8333333333333334,0.875,5,2,3,0.023808100777290144
side,30pct,24,0.5,0.7083333333333334,0.20833333333333334,0.5750000000000001,0.7125,0.13749999999999998,1.0,0.7916666666666666,5,5,0,0.04923485692377046
side,40pct,24,0.5,0.8333333333333334,0.3333333333333333,0.5375,0.8041666666666667,0.26666666666666666,1.0,0.6666666666666666,8,8,0,0.07444236211556321
side,100pct,24,0.5,0.75,0.25,0.4875,0.7583333333333333,0.2708333333333333,1.0,0.75,6,6,0,0.116531477154543
side,flat,24,0.5,0.75,0.25,0.4875,0.7583333333333333,0.2708333333333333,1.0,0.75,6,6,0,0.013460224172506507
side,linear,24,0.5,0.7916666666666666,0.2916666666666667,0.5125000000000001,0.8041666666666666,0.2916666666666667,1.0,0.7083333333333334,7,7,0,0.017372124878350985
side,exponential,24,0.5,0.7916666666666666,0.2916666666666667,0.5458333333333333,0.7458333333333332,0.20000000000000004,1.0,0.7083333333333334,7,7,0,0.017480951388966357
