episode_id,layout_id,trajectory_condition,target_color,target_side_base,blue_block_side_base,red_block_side_base,prompt_family,decision,target_label,original_score,flipped_score,score_delta_flip_minus_original,original_prediction,flipped_prediction,prediction_changed,original_correct,flipped_correct,accuracy_change,original_seed_correct_rate,flipped_seed_correct_rate,seed_accuracy_change
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,10pct,blue,0.011892627701163293,0.029445362798869612,0.01755273509770632,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,20pct,blue,0.025394118130207068,0.05818251378834248,0.03278839565813541,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,30pct,blue,0.03965898975729942,0.08342224527150392,0.0437632555142045,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,40pct,blue,0.05323302149772645,0.09903030321002007,0.04579728171229362,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,100pct,blue,-0.004669418931007384,-0.06142950356006622,-0.056760084629058835,blue,blue,0,1,1,0,0.5,1.0,0.5
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,flat,blue,-0.000583677366375923,-0.007678687945008277,-0.007095010578632354,blue,blue,0,1,1,0,0.5,1.0,0.5
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,linear,blue,0.008037190139293672,0.005577897156278294,-0.0024592929830153775,red,red,0,0,0,0,0.1,0.1,0.0
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,right,color,exponential,blue,0.011486562420213738,0.01577596146165613,0.004289399041442394,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,10pct,blue,0.03729439973831177,-0.009574582576751709,-0.04686898231506348,red,blue,1,0,1,1,0.0,0.8,0.8
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,20pct,blue,0.06734633535146714,0.020232617259025584,-0.04711371809244155,red,red,0,0,0,0,0.0,0.2,0.2
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,30pct,blue,0.0970289060473442,0.06400245308876037,-0.03302645295858382,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,40pct,blue,0.12662476181983948,0.09923820734024048,-0.027386554479598993,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,100pct,blue,0.07086809575557709,0.048558303713798504,-0.02230979204177859,red,red,0,0,0,0,0.0,0.2,0.2
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,flat,blue,0.008858511969447137,0.006069787964224813,-0.0027887240052223237,red,red,0,0,0,0,0.0,0.2,0.2
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,linear,blue,0.0244566425267193,0.017193097828163043,-0.007263544698556258,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,right,color,exponential,blue,0.03029513233878368,0.016950189337708994,-0.013344943001074687,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,10pct,blue,0.015230911374092103,-0.012531914301216602,-0.027762825675308703,red,blue,1,0,1,1,0.0,0.8,0.8
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,20pct,blue,0.052684404700994496,0.0093422643840313,-0.04334214031696319,red,red,0,0,0,0,0.0,0.2,0.2
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,30pct,blue,0.08211866229772567,0.06951678443700074,-0.012601877860724933,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,40pct,blue,0.09981893241405489,0.10782392427325249,0.008004991859197605,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,100pct,blue,-0.10901921242475508,0.02882699668407441,0.1378462091088295,blue,red,1,1,0,-1,1.0,0.4,-0.6
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,flat,blue,-0.010901921242475509,0.002882699668407441,0.01378462091088295,blue,red,1,1,0,-1,1.0,0.4,-0.6
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,linear,blue,0.0040565016594800085,0.010455278889699417,0.006398777230219408,red,red,0,0,0,0,0.1,0.0,-0.1
