prompt_family,episode_id,num_paired_chunk_seeds,mean_original_margin,mean_flipped_margin,mean_margin_delta_flip_minus_original,mean_absolute_margin_delta,same_sign_rate,opposite_sign_rate,correlation_with_original
color,2026_08_18_00_40_18_199635_L1_left_C0,80,-0.0005836773663759232,-0.007678687945008278,-0.007095010578632354,0.02497546039521694,0.8,0.2,0.6380105306173267
color,2026_08_18_00_40_47_448240_L1_left_C1,80,0.008858511969447137,0.0060697879642248155,-0.0027887240052223206,0.02287798672914505,0.8,0.2,0.7365778980418536
color,2026_08_18_00_41_27_880068_L1_left_C2,100,-0.01090192124247551,0.0028826996684074404,0.01378462091088295,0.0246406851708889,0.77,0.23,0.6994512050380369
color,2026_08_18_00_45_28_073578_L1_right_C0,80,0.00964363869279623,0.032510485220700505,0.022866846527904272,0.029773273039609194,0.675,0.325,0.44467462314310957
color,2026_08_18_00_45_56_961481_L1_right_C1,80,0.03081222828477621,0.022263371385633945,-0.008548856899142265,0.03189881034195423,0.6375,0.3625,0.558644343509997
color,2026_08_18_00_46_25_193744_L1_right_C2,100,0.012298564165830613,0.006005367785692215,-0.006293196380138397,0.017830111384391785,0.69,0.31,0.647110007061277
color,2026_08_18_00_48_13_457980_L1_left_C0,80,0.02204023227095604,0.023609748762100934,0.0015695164911448956,0.035434748698025945,0.75,0.25,0.17036492298693223
color,2026_08_18_00_49_05_482404_L1_left_C1,80,-0.018392990157008172,-0.009386007115244866,0.009006983041763306,0.04498425871133804,0.6,0.4,0.0249511180271917
color,2026_08_18_00_49_36_378126_L1_left_C2,100,0.00392624169588089,-0.0007293438911437989,-0.004655585587024689,0.024439791142940523,0.73,0.27,0.4462922269628833
color,2026_08_18_00_50_22_202653_L1_right_C0,80,0.008645269088447094,-0.0011880287900567054,-0.009833297878503799,0.04203871414065361,0.6,0.4,0.15082121582986072
color,2026_08_18_00_50_52_802516_L1_right_C1,80,-0.010573890805244446,-0.008749188855290413,0.001824701949954033,0.03808104917407036,0.65,0.35,0.20491506757822503
color,2026_08_18_00_51_25_610649_L1_right_C2,100,-0.01482104793190956,-0.01292088583111763,0.0019001621007919312,0.026557063460350038,0.7,0.3,0.7414991388542231
color,2026_08_18_00_52_54_907596_L3_right_C0,80,0.010643175058066844,-0.01659787818789482,-0.027241053245961665,0.03345775529742241,0.675,0.325,0.26670374977873745
