episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,0,0,16,16,0.13793103448275862,10,0.2791446730494499,0.3161070644855499,-0.03696239143610001,0.03505953940644275,0.1,0.9,0.9,-0.03696239143610001,-0.03696239143610001,-0.03696239143610001,-0.03696239143610001
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,1,16,32,16,0.27586206896551724,10,0.2177105501294136,0.2697857737541199,-0.05207522362470627,0.010821532948381144,0.0,1.0,1.0,-0.08903761506080628,-0.04451880753040314,-0.044015046457449594,-0.043118352755808574
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,2,32,48,16,0.41379310344827586,10,0.20399665236473083,0.25422065407037736,-0.05022400170564652,0.016387421712528726,0.0,1.0,1.0,-0.1392616167664528,-0.04642053892215093,-0.04578903367122015,-0.04467252210558029
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,3,48,64,16,0.5517241379310345,10,0.2194550521671772,0.24930704683065413,-0.029851994663476943,0.004634685883330062,0.0,1.0,1.0,-0.16911361142992973,-0.04227840285748243,-0.04272421847742337,-0.04273575733134509
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,4,64,80,16,0.6896551724137931,10,0.18251701593399047,0.19316793531179427,-0.010650919377803802,0.002895131632600059,0.0,1.0,1.0,-0.17976453080773352,-0.035952906161546706,-0.0384477785974741,-0.04009152547188786
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,5,80,96,16,0.8275862068965517,10,0.2539517343044281,0.2636231854557991,-0.009671451151371002,0.0021157976501870505,0.0,1.0,1.0,-0.18943598195910452,-0.03157266365985075,-0.03583174882964655,-0.038460834682879884
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,6,96,112,16,0.9655172413793104,10,0.254618738591671,0.2367580145597458,0.0178607240319252,0.004518904899739586,1.0,1.0,0.0,-0.17157525792717931,-0.024510751132454187,-0.03276360752327102,-0.03645953223417876
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,7,112,116,4,1.0,10,0.25153679251670835,0.2616409435868263,-0.01010415107011795,0.002340964808809003,0.0,1.0,1.0,-0.18167940899729726,-0.022709926124662157,-0.0321341781773501,-0.035831230698471425
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,0,0,16,16,0.125,10,0.3411333352327347,0.3671869069337845,-0.026053571701049806,0.01613389935946913,0.1,0.9,0.9,-0.026053571701049806,-0.026053571701049806,-0.026053571701049806,-0.026053571701049806
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,1,16,32,16,0.25,10,0.2736311569809914,0.34968717247247694,-0.07605601549148559,0.03479240165975647,0.0,1.0,1.0,-0.1021095871925354,-0.0510547935962677,-0.049388045469919845,-0.046421237140813525
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,2,32,48,16,0.375,10,0.31048156768083573,0.31635323315858843,-0.005871665477752685,0.02429011734819179,0.4,0.6,0.6,-0.10798125267028809,-0.03599375089009603,-0.03695479404358637,-0.037552110355914006
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,3,48,64,16,0.5,10,0.2916450947523117,0.23952923268079757,0.05211586207151413,0.01501912779325102,1.0,1.0,0.0,-0.05586539059877396,-0.01396634764969349,-0.01982582171375935,-0.025834189313429887
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,4,64,80,16,0.625,10,0.2878591477870941,0.2825271159410477,0.005332031846046447,0.008925190741321918,0.6,0.6,0.4,-0.05053335875272751,-0.010106671750545502,-0.01647144123911858,-0.023265664110089054
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,5,80,96,16,0.75,10,0.2978846162557602,0.2970682680606842,0.0008163481950759887,0.0024147071266613735,0.8,0.8,0.2,-0.04971701055765152,-0.008286168426275253,-0.014899824017828162,-0.021974729866042073
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,6,96,112,16,0.875,10,0.23961108475923537,0.20973655283451081,0.029874531924724577,0.009121267361931003,1.0,1.0,0.0,-0.019842478632926944,-0.002834639804703849,-0.012341289392539433,-0.020132343807256908
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,7,112,128,16,1.0,10,0.27931084483861923,0.2736858919262886,0.005624952912330628,0.0019275351620845374,1.0,1.0,0.0,-0.014217525720596317,-0.0017771907150745396,-0.011842227106293044,-0.01951830036072711
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,0,0,16,16,0.10256410256410256,10,0.19193805605173112,0.2329658091068268,-0.04102775305509567,0.009046517420251818,0.0,1.0,1.0,-0.04102775305509567,-0.04102775305509567,-0.04102775305509567,-0.04102775305509567
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,1,16,32,16,0.20512820512820512,10,0.2353880748152733,0.293731027841568,-0.058342953026294705,0.01674629237363382,0.0,1.0,1.0,-0.09937070608139037,-0.049685353040695185,-0.04922968988355837,-0.04839636597574198
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,2,32,48,16,0.3076923076923077,10,0.29387558698654176,0.3134094253182411,-0.01953383833169937,0.020714646434864346,0.4,0.6,0.6,-0.11890454441308974,-0.039634848137696584,-0.04043091905337792,-0.04147817744353874
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,3,48,64,16,0.41025641025641024,10,0.316108874976635,0.30484290719032286,0.011265967786312104,0.00945077832952105,0.9,0.9,0.1,-0.10763857662677764,-0.02690964415669441,-0.029787442351088798,-0.0335246973512656
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,4,64,80,16,0.5128205128205128,10,0.3016335338354111,0.28320748955011366,0.018426044285297392,0.004720468692288765,1.0,1.0,0.0,-0.08921253234148024,-0.01784250646829605,-0.022555419355630872,-0.028304407958826498
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,5,80,96,16,0.6153846153846154,10,0.2766933530569077,0.2661884367465973,0.010504916310310364,0.004580226490669978,1.0,1.0,0.0,-0.07870761603116988,-0.01311793600519498,-0.018882048726081846,-0.025615550170769174
