episode_id,condition,target_side,pregrasp_chunks,num_seeds,prediction_10pct,prediction_20pct,prediction_30pct,prediction_40pct,prediction_100pct,margin_10pct,margin_20pct,margin_30pct,margin_40pct,margin_100pct,seed_correct_rate_10pct,seed_correct_rate_20pct,seed_correct_rate_30pct,seed_correct_rate_40pct,seed_correct_rate_100pct,seed_prediction_agreement_10pct,seed_prediction_agreement_20pct,seed_prediction_agreement_30pct,seed_prediction_agreement_40pct,seed_prediction_agreement_100pct,early_correct_20_to_40pct,late_reversal,flat_final_score,flat_final_prediction,linear_final_score,linear_final_prediction,exponential_final_score,exponential_final_prediction,flat_seed_correct_rate,linear_seed_correct_rate,exponential_seed_correct_rate,flat_seed_prediction_agreement,linear_seed_prediction_agreement,exponential_seed_prediction_agreement,final_prediction_seed_agreement,final_prediction_stable_80pct,mean_chunk_sign_seed_agreement,minimum_chunk_sign_seed_agreement
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,8,10,L,L,L,L,L,-0.026797733791172507,-0.06039624206721783,-0.09782681535929441,-0.13423921659588817,-0.18167940899729726,0.9,0.9,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1,0,-0.022709926124662157,L,-0.0321341781773501,L,-0.035831230698471425,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9875,0.9
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,8,10,L,L,L,L,L,-0.020842857360839847,-0.07168718099594118,-0.10445825338363648,-0.09755808025598525,-0.014217525720596317,0.9,1.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,0.6,1,0,-0.0017771907150745396,L,-0.011842227106293044,L,-0.01951830036072711,L,0.6,1.0,1.0,0.6,1.0,1.0,0.6,0,0.8625,0.6
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,10,10,L,L,L,L,L,-0.04000205922871828,-0.09645355843007565,-0.11743950653821228,-0.10876517340540885,-0.0874628022313118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.008746280223131179,L,-0.016128800592639228,L,-0.022898325137549184,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9,0.6
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,8,10,L,L,L,L,L,-0.011758246012032033,-0.0430657234787941,-0.0760720308870077,-0.07687058150768279,-0.07296625971794128,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,-0.00912078246474266,L,-0.01464043180975649,L,-0.01862781320997443,L,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.925,0.7
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,8,10,L,R,R,R,R,-0.002747533321380615,0.015268160104751589,0.02803600013256073,0.03276372164487839,0.07408781051635743,0.2,0.7,0.9,0.9,1.0,0.8,0.7,0.9,0.9,1.0,1,0,0.009260976314544679,R,0.011415262561705379,R,0.010329898723096016,R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8250000000000001,0.5
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,10,10,L,R,R,R,R,-0.0010798522084951403,0.02615466490387917,0.039637443609535694,0.048088776767253885,0.048119595646858214,0.4,0.9,1.0,1.0,1.0,0.6,0.9,1.0,1.0,1.0,1,0,0.004811959564685822,R,0.008608462593772195,R,0.00930239363957791,R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.93,0.6
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,8,10,L,L,L,L,L,-0.01355399586260319,-0.035398723930120474,-0.057354452647268774,-0.06373557075858116,-0.08373557478189468,0.7,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1,0,-0.010466946847736835,L,-0.013854688012765513,L,-0.01663993702483725,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9125,0.7
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,8,10,L,L,L,L,L,-0.021534569263458255,-0.09165066808462144,-0.15601230829954146,-0.18225989192724226,-0.1598106399178505,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1,0,-0.019976329989731312,L,-0.033183525544073854,L,-0.03928884429918678,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9375,0.8
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,10,10,L,L,L,L,L,-0.026538266837596892,-0.10272263996303083,-0.16211699653416872,-0.1838104572892189,-0.21715852469205857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.021715852469205855,L,-0.03075195564465089,L,-0.03572656503282671,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9299999999999999,0.7
2026_08_18_00_50_22_202653_L1_right_C0,C0,right,8,10,L,L,L,L,L,-0.0062693672627210624,-0.027752769887447362,-0.04880560617893934,-0.03928462639451026,-0.08104976117610932,0.3,0.3,0.1,0.3,0.0,0.7,0.7,0.9,0.7,1.0,0,0,-0.010131220147013665,L,-0.010139264207747245,L,-0.011899193836894587,L,0.0,0.1,0.2,1.0,0.9,0.8,1.0,1,0.875,0.6
2026_08_18_00_50_52_802516_L1_right_C1,C1,right,8,10,R,R,R,R,R,0.01318063259124756,0.015339531898498536,0.01664233684539795,0.023478332757949832,0.03686078935861588,0.7,0.7,0.6,0.7,0.9,0.7,0.7,0.6,0.7,0.9,1,0,0.004607598669826985,R,0.007532162674599223,R,0.008328559613973587,R,0.9,0.9,0.7,0.9,0.9,0.7,0.9,1,0.9,0.5
2026_08_18_00_51_25_610649_L1_right_C2,C2,right,10,10,L,L,R,R,L,-0.005750676691532135,-0.011272839903831482,0.0019996139034628834,0.02813346564769746,-0.002198711037635799,0.1,0.0,0.6,1.0,0.6,0.9,1.0,0.6,1.0,0.4,1,1,-0.00021987110376357988,L,0.0031129510836167777,R,0.0024249595918918935,R,0.6,0.9,0.9,0.4,0.9,0.9,0.4,0,0.97,0.8
2026_08_18_00_52_54_907596_L3_right_C0,C0,right,8,10,L,L,L,L,L,-0.0206612597592175,-0.04472122373990715,-0.06507930944673716,-0.07530637837946415,-0.12376430481672288,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,-0.01547053810209036,L,-0.017111860029399392,L,-0.020208228425978077,L,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.9125000000000001,0.6
2026_08_18_00_53_23_339528_L3_right_C1,C1,right,9,10,L,L,L,R,R,-0.010467397570610049,-0.01877361945807934,-0.005053493194282062,0.0205377434194088,0.03474298790097236,0.2,0.1,0.5,0.9,1.0,0.8,0.9,0.5,0.9,1.0,1,0,0.0038603319889969293,R,0.005544132457839118,R,0.003025385474591846,R,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1,0.9555555555555555,0.8
2026_08_18_00_53_52_283658_L3_right_C2,C2,right,10,10,L,L,L,R,L,-0.02711038537323475,-0.027555220760405064,-0.0068892333144322075,0.013880429826676841,-0.013065508753061294,0.0,0.0,0.3,0.7,0.3,1.0,1.0,0.7,0.7,0.7,1,1,-0.0013065508753061293,L,-3.201668912714231e-05,L,-0.0022132147478784708,L,0.3,0.7,0.3,0.7,0.3,0.7,0.7,0,0.9,0.4
2026_08_18_00_54_32_747715_L3_left_C0,C0,left,8,10,L,L,L,L,L,-0.005972123891115189,-0.017796942591667177,-0.04138374254107475,-0.08264181017875671,-0.17729114443063734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.022161393053829668,L,-0.0250515579763386,L,-0.02312221016544879,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
2026_08_18_00_55_01_843645_L3_left_C1,C1,left,9,10,L,L,L,L,L,-0.009012393057346345,-0.04088345795869827,-0.07518548559397459,-0.09950769245624543,-0.14428330212831494,0.7,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1,0,-0.016031478014257215,L,-0.021967137522167626,L,-0.022927818390781875,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9555555555555555,0.7
2026_08_18_00_55_32_860317_L3_left_C2,C2,left,11,10,L,L,L,L,L,-0.019916487950831657,-0.07444334411993624,-0.09343157261610031,-0.10068771224468946,-0.11468038856983184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.010425489869984712,L,-0.015056839901389495,L,-0.01854711339319581,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8818181818181817,0.6
2026_08_18_00_56_19_492037_L3_right_C0,C0,right,8,10,L,L,L,L,L,-0.008320867270231248,-0.02784879431128502,-0.049962672591209414,-0.06604139357805253,-0.02202443778514863,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,0.9,0,0,-0.002753054723143579,L,-0.005691498766342801,L,-0.009315118802880116,L,0.1,0.0,0.0,0.9,1.0,1.0,0.9,1,0.8999999999999999,0.6
2026_08_18_00_56_48_148319_L3_right_C1,C1,right,9,10,L,L,L,R,R,-0.010930172502994539,-0.014601966291666033,-0.00559737708419562,0.014465519636869432,0.013719953596591944,0.1,0.1,0.5,0.8,0.7,0.9,0.9,0.5,0.8,0.7,1,0,0.001524439288510216,R,0.003463708758354188,R,0.0015894529358316245,R,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0,0.9222222222222223,0.5
2026_08_18_00_57_15_980084_L3_right_C2,C2,right,10,10,L,L,R,R,R,-0.031956055182963614,-0.007081128135323529,0.006140767559409139,0.02067117176949978,0.031905251741409305,0.0,0.2,0.6,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1,0,0.0031905251741409305,R,0.00384849800304933,R,0.0012715048720580435,R,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1,0.95,0.5
2026_08_18_00_57_54_988496_L3_left_C0,C0,left,8,10,L,L,L,L,L,-0.020647830516099933,-0.04838771000504495,-0.07898792810738087,-0.10821677446365358,-0.1834147609770298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.022926845122128725,L,-0.029660092107951643,L,-0.03119623942427011,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
2026_08_18_00_58_22_709133_L3_left_C1,C1,left,9,10,L,L,L,L,L,-0.0167479457706213,-0.07499183654785158,-0.12617749068886042,-0.1463740396499634,-0.11156185716390613,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1,0,-0.012395761907100681,L,-0.023380883865886264,L,-0.029030963656259255,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9666666666666666,0.9
2026_08_18_00_59_48_029579_L3_left_C2,C2,left,10,10,L,L,L,L,L,-0.03672571834176779,-0.1265036775916815,-0.15719729125499726,-0.14773779485374688,-0.14175471216440197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.014175471216440198,L,-0.024261872307820762,L,-0.031430776917803604,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.95,0.7
