split,condition,pair_index,episode_id,target_side,instruction,recorded_color_instruction,layout_id,target_color,blue_block_side,red_block_side,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,0,8,0.3,0.7,8,0.3157779574394226,0.35779067873954773,0.3157779574394226,0.35779067873954773,0.04201272130012512,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,1,8,0.3,0.7,8,0.25660669803619385,0.26954570412635803,0.25660669803619385,0.26954570412635803,0.012939006090164185,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,2,8,0.3,0.7,8,0.30277860164642334,0.3814680874347687,0.30277860164642334,0.3814680874347687,0.07868948578834534,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,3,8,0.3,0.7,8,0.23820775747299194,0.24534517526626587,0.23820775747299194,0.24534517526626587,0.007137417793273926,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,4,8,0.3,0.7,8,0.2162330448627472,0.2530439496040344,0.2162330448627472,0.2530439496040344,0.03681090474128723,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,5,8,0.3,0.7,8,0.32828640937805176,0.42128264904022217,0.32828640937805176,0.42128264904022217,0.09299623966217041,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,6,8,0.3,0.7,8,0.3127511739730835,0.35489410161972046,0.3127511739730835,0.35489410161972046,0.04214292764663696,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,7,8,0.3,0.7,8,0.29731959104537964,0.33417633175849915,0.29731959104537964,0.33417633175849915,0.03685674071311951,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,8,8,0.3,0.7,8,0.16973023116588593,0.21981629729270935,0.16973023116588593,0.21981629729270935,0.050086066126823425,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,9,8,0.3,0.7,8,0.35375526547431946,0.3237076699733734,0.35375526547431946,0.3237076699733734,-0.030047595500946045,0.38145551085472107,0.0021811791229993105,0.4664916396141052
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,0,8,0.3,0.7,8,0.2255602329969406,0.2847418785095215,0.2255602329969406,0.2847418785095215,0.05918164551258087,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,1,8,0.3,0.7,8,0.19302241504192352,0.23576022684574127,0.19302241504192352,0.23576022684574127,0.04273781180381775,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,2,8,0.3,0.7,8,0.2200745791196823,0.2905193269252777,0.2200745791196823,0.2905193269252777,0.0704447478055954,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,3,8,0.3,0.7,8,0.2161094695329666,0.26275572180747986,0.2161094695329666,0.26275572180747986,0.046646252274513245,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,4,8,0.3,0.7,8,0.28377509117126465,0.33778923749923706,0.28377509117126465,0.33778923749923706,0.05401414632797241,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,5,8,0.3,0.7,8,0.22069151699543,0.2774907648563385,0.22069151699543,0.2774907648563385,0.05679924786090851,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,6,8,0.3,0.7,8,0.27019357681274414,0.33063817024230957,0.27019357681274414,0.33063817024230957,0.06044459342956543,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,7,8,0.3,0.7,8,0.20682621002197266,0.25461024045944214,0.20682621002197266,0.25461024045944214,0.04778403043746948,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,8,8,0.3,0.7,8,0.1468142867088318,0.17804621160030365,0.1468142867088318,0.17804621160030365,0.031231924891471863,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,9,8,0.3,0.7,8,0.19403812289237976,0.24550595879554749,0.19403812289237976,0.24550595879554749,0.051467835903167725,0.42407873272895813,0.005680404137820005,0.41256415843963623
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,0,8,0.3,0.7,8,0.2592405676841736,0.34029269218444824,0.2592405676841736,0.34029269218444824,0.08105212450027466,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,1,8,0.3,0.7,8,0.2255367487668991,0.29582101106643677,0.2255367487668991,0.29582101106643677,0.07028426229953766,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,2,8,0.3,0.7,8,0.2553073465824127,0.30793824791908264,0.2553073465824127,0.30793824791908264,0.05263090133666992,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,3,8,0.3,0.7,8,0.1748104989528656,0.23288974165916443,0.1748104989528656,0.23288974165916443,0.05807924270629883,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,4,8,0.3,0.7,8,0.18834573030471802,0.22940579056739807,0.18834573030471802,0.22940579056739807,0.041060060262680054,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,5,8,0.3,0.7,8,0.18847410380840302,0.22004999220371246,0.18847410380840302,0.22004999220371246,0.03157588839530945,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,6,8,0.3,0.7,8,0.21274876594543457,0.2678986191749573,0.21274876594543457,0.2678986191749573,0.055149853229522705,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,7,8,0.3,0.7,8,0.15956583619117737,0.19905653595924377,0.15956583619117737,0.19905653595924377,0.039490699768066406,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,8,8,0.3,0.7,8,0.16334408521652222,0.19498246908187866,0.16334408521652222,0.19498246908187866,0.031638383865356445,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,9,8,0.3,0.7,8,0.21259284019470215,0.25387144088745117,0.21259284019470215,0.25387144088745117,0.04127860069274902,0.47257158160209656,0.01141748670488596,0.3632127642631531
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,0,8,0.3,0.7,8,0.15963208675384521,0.18570256233215332,0.15963208675384521,0.18570256233215332,0.026070475578308105,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,1,8,0.3,0.7,8,0.22097820043563843,0.25063005089759827,0.22097820043563843,0.25063005089759827,0.02965185046195984,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,2,8,0.3,0.7,8,0.2787131667137146,0.3097899556159973,0.2787131667137146,0.3097899556159973,0.031076788902282715,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,3,8,0.3,0.7,8,0.14089834690093994,0.16560593247413635,0.14089834690093994,0.16560593247413635,0.02470758557319641,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,4,8,0.3,0.7,8,0.12004970759153366,0.14451688528060913,0.12004970759153366,0.14451688528060913,0.02446717768907547,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,5,8,0.3,0.7,8,0.19148306548595428,0.2241101711988449,0.19148306548595428,0.2241101711988449,0.032627105712890625,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,6,8,0.3,0.7,8,0.2511960566043854,0.2820107936859131,0.2511960566043854,0.2820107936859131,0.03081473708152771,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,7,8,0.3,0.7,8,0.33482545614242554,0.3752908706665039,0.33482545614242554,0.3752908706665039,0.04046541452407837,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,8,8,0.3,0.7,8,0.26977232098579407,0.29879051446914673,0.26977232098579407,0.29879051446914673,0.02901819348335266,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,3,pregrasp,48,64,16,0.5517241379310345,0.46715328467153283,9,8,0.3,0.7,8,0.2270021140575409,0.2566227316856384,0.2270021140575409,0.2566227316856384,0.029620617628097534,0.5210071206092834,0.018530013039708138,0.31376373767852783
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,4,pregrasp,64,80,16,0.6896551724137931,0.583941605839416,0,8,0.3,0.7,8,0.2740643322467804,0.2876187562942505,0.2740643322467804,0.2876187562942505,0.013554424047470093,0.569491982460022,0.026051515713334084,0.2639348804950714
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,4,pregrasp,64,80,16,0.6896551724137931,0.583941605839416,1,8,0.3,0.7,8,0.14159826934337616,0.1541559100151062,0.14159826934337616,0.1541559100151062,0.012557640671730042,0.569491982460022,0.026051515713334084,0.2639348804950714
test,C0,0,2026_08_18_00_40_18_199635_L1_left_C0,left,pick up the left block,pick up the blue block,L1,blue,left,right,4,pregrasp,64,80,16,0.6896551724137931,0.583941605839416,2,8,0.3,0.7,8,0.21292200684547424,0.22201478481292725,0.21292200684547424,0.22201478481292725,0.009092777967453003,0.569491982460022,0.026051515713334084,0.2639348804950714
