prompt_family,decision,grouping,level,num_trajectories,original_accuracy,flipped_accuracy,accuracy_change,original_seed_pooled_accuracy,flipped_seed_pooled_accuracy,seed_pooled_accuracy_change,original_first_label_rate,flipped_first_label_rate,prediction_changed_count,improved_count,worsened_count,mean_score_delta_flip_minus_original
color,10pct,overall,all,24,0.4166666666666667,0.4583333333333333,0.041666666666666664,0.4166666666666667,0.42083333333333334,0.004166666666666661,0.25,0.375,13,7,6,0.003975833950874706
color,10pct,layout,L1,12,0.5,0.5,0.0,0.46666666666666673,0.47500000000000003,0.008333333333333331,0.3333333333333333,0.3333333333333333,8,4,4,0.013190209983537593
color,10pct,layout,L3,12,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.3666666666666667,0.3666666666666667,9.25185853854297e-18,0.16666666666666666,0.4166666666666667,5,3,2,-0.005238542081788185
color,10pct,target_color,blue,12,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.18333333333333335,0.25,0.06666666666666668,0.16666666666666666,0.3333333333333333,6,4,2,0.0026320653602791323
color,10pct,target_color,red,12,0.6666666666666666,0.5833333333333334,-0.08333333333333333,0.65,0.5916666666666667,-0.05833333333333335,0.3333333333333333,0.4166666666666667,7,3,4,0.005319602541470279
color,10pct,target_side,left,12,0.25,0.8333333333333334,0.5833333333333334,0.26666666666666666,0.7416666666666667,0.47500000000000003,0.25,0.3333333333333333,7,7,0,0.00466622116975486
color,10pct,target_side,right,12,0.5833333333333334,0.08333333333333333,-0.5,0.5666666666666668,0.09999999999999999,-0.46666666666666673,0.25,0.4166666666666667,6,0,6,0.003285446731994547
color,10pct,blue_side,left,12,0.4166666666666667,0.4166666666666667,0.0,0.3833333333333333,0.35000000000000003,-0.03333333333333333,0.08333333333333333,0.75,8,4,4,-0.04089416031958535
color,10pct,blue_side,right,12,0.4166666666666667,0.5,0.08333333333333333,0.45,0.4916666666666667,0.04166666666666668,0.4166666666666667,0.0,5,3,2,0.048845828221334764
color,10pct,trajectory_condition,C0,8,0.25,0.5,0.25,0.41250000000000003,0.425,0.012499999999999997,0.5,0.25,4,3,1,0.01071587007376365
color,10pct,trajectory_condition,C1,8,0.5,0.5,0.0,0.4625,0.4625,1.0408340855860843e-17,0.25,0.5,6,3,3,-0.008904155525378883
color,10pct,trajectory_condition,C2,8,0.5,0.375,-0.125,0.375,0.375,0.0,0.0,0.375,3,1,2,0.010115787304239347
color,10pct,layout_x_target_side,L1/left,6,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.21666666666666667,0.75,0.5333333333333333,0.3333333333333333,0.3333333333333333,4,4,0,0.016120938304811715
color,10pct,layout_x_target_side,L1/right,6,0.8333333333333334,0.16666666666666666,-0.6666666666666666,0.7166666666666668,0.19999999999999998,-0.5166666666666667,0.3333333333333333,0.3333333333333333,4,0,4,0.010259481662263476
color,10pct,layout_x_target_side,L3/left,6,0.3333333333333333,0.8333333333333334,0.5,0.31666666666666665,0.7333333333333334,0.4166666666666667,0.16666666666666666,0.3333333333333333,3,3,0,-0.006788495965301994
color,10pct,layout_x_target_side,L3/right,6,0.3333333333333333,0.0,-0.3333333333333333,0.4166666666666667,0.0,-0.4166666666666667,0.16666666666666666,0.5,2,0,2,-0.0036885881982743757
color,10pct,condition_x_target_side,C0/left,4,0.0,0.75,0.75,0.25,0.6,0.35,0.5,0.25,3,3,0,0.003486338006332513
color,10pct,condition_x_target_side,C0/right,4,0.5,0.25,-0.25,0.575,0.25,-0.325,0.5,0.25,1,0,1,0.017945402141194795
color,10pct,condition_x_target_side,C1/left,4,0.25,1.0,0.75,0.3,0.9249999999999999,0.625,0.25,0.5,3,3,0,-0.018825216703116893
color,10pct,condition_x_target_side,C1/right,4,0.75,0.0,-0.75,0.625,0.0,-0.625,0.25,0.5,3,0,3,0.0010169056523591236
color,10pct,condition_x_target_side,C2/left,4,0.5,0.75,0.25,0.25,0.7,0.45,0.0,0.25,1,1,0,0.029337542206048964
color,10pct,condition_x_target_side,C2/right,4,0.5,0.0,-0.5,0.5,0.05,-0.45,0.0,0.5,2,0,2,-0.00910596759757027
color,10pct,target_color_x_target_side,blue/left,6,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.6666666666666666,4,4,0,-0.04154754169130078
color,10pct,target_color_x_target_side,blue/right,6,0.3333333333333333,0.0,-0.3333333333333333,0.3666666666666667,0.0,-0.3666666666666667,0.3333333333333333,0.0,2,0,2,0.04681167241185904
color,10pct,target_color_x_target_side,red/left,6,0.5,1.0,0.5,0.5333333333333333,0.9833333333333334,0.45,0.5,0.0,3,3,0,0.05087998403081049
color,10pct,target_color_x_target_side,red/right,6,0.8333333333333334,0.16666666666666666,-0.6666666666666666,0.7666666666666667,0.19999999999999998,-0.5666666666666668,0.16666666666666666,0.8333333333333334,4,0,4,-0.04024077894786993
color,20pct,overall,all,24,0.375,0.3333333333333333,-0.041666666666666664,0.3625,0.37083333333333335,0.008333333333333331,0.20833333333333334,0.16666666666666666,9,4,5,0.00579905330125863
color,20pct,layout,L1,12,0.4166666666666667,0.3333333333333333,-0.08333333333333333,0.45,0.3416666666666666,-0.10833333333333334,0.25,0.16666666666666666,5,2,3,0.009452923058221737
