episode_id,layout_id,condition,target_color,target_side_base,target_side_exterior_original,blue_block_side_base,red_block_side_base,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,visual_condition,prompt_family,first_prompt,second_prompt,energy_first,energy_second,margin_first_minus_second,cartesian_x,cartesian_y,cartesian_z
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,0,exterior_hflip,color,pick up the blue block,pick up the red block,0.36222904920578003,0.3320493996143341,0.030179649591445923,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,0,exterior_hflip,side,pick up the left block,pick up the right block,0.3157779574394226,0.35779067873954773,-0.04201272130012512,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,1,exterior_hflip,color,pick up the blue block,pick up the red block,0.29239800572395325,0.24432891607284546,0.04806908965110779,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,1,exterior_hflip,side,pick up the left block,pick up the right block,0.25660669803619385,0.26954570412635803,-0.012939006090164185,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,2,exterior_hflip,color,pick up the blue block,pick up the red block,0.3788391947746277,0.34922587871551514,0.02961331605911255,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,2,exterior_hflip,side,pick up the left block,pick up the right block,0.30277860164642334,0.3814680874347687,-0.07868948578834534,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,3,exterior_hflip,color,pick up the blue block,pick up the red block,0.27325886487960815,0.23491403460502625,0.03834483027458191,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,3,exterior_hflip,side,pick up the left block,pick up the right block,0.23820775747299194,0.24534517526626587,-0.007137417793273926,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,4,exterior_hflip,color,pick up the blue block,pick up the red block,0.27985313534736633,0.2263287454843521,0.05352438986301422,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,4,exterior_hflip,side,pick up the left block,pick up the right block,0.2162330448627472,0.2530439496040344,-0.03681090474128723,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,5,exterior_hflip,color,pick up the blue block,pick up the red block,0.40818625688552856,0.3817225396633148,0.026463717222213745,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,5,exterior_hflip,side,pick up the left block,pick up the right block,0.32828640937805176,0.42128264904022217,-0.09299623966217041,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,6,exterior_hflip,color,pick up the blue block,pick up the red block,0.380182683467865,0.3377716839313507,0.04241099953651428,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,6,exterior_hflip,side,pick up the left block,pick up the right block,0.3127511739730835,0.35489410161972046,-0.04214292764663696,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,7,exterior_hflip,color,pick up the blue block,pick up the red block,0.35646289587020874,0.31233683228492737,0.04412606358528137,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,7,exterior_hflip,side,pick up the left block,pick up the right block,0.29731959104537964,0.33417633175849915,-0.03685674071311951,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,8,exterior_hflip,color,pick up the blue block,pick up the red block,0.2578151524066925,0.19841650128364563,0.059398651123046875,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,8,exterior_hflip,side,pick up the left block,pick up the right block,0.16973023116588593,0.21981629729270935,-0.050086066126823425,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,9,exterior_hflip,color,pick up the blue block,pick up the red block,0.3494519591331482,0.31543973088264465,0.03401222825050354,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,0,pregrasp,0,16,16,0.13793103448275862,0.11678832116788321,9,exterior_hflip,side,pick up the left block,pick up the right block,0.35375526547431946,0.3237076699733734,0.030047595500946045,0.38145551085472107,0.0021811791229993105,0.4664916396141052
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,0,exterior_hflip,color,pick up the blue block,pick up the red block,0.27205339074134827,0.2381165325641632,0.03393685817718506,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,0,exterior_hflip,side,pick up the left block,pick up the right block,0.2255602329969406,0.2847418785095215,-0.05918164551258087,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,1,exterior_hflip,color,pick up the blue block,pick up the red block,0.2563009262084961,0.20093309879302979,0.05536782741546631,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,1,exterior_hflip,side,pick up the left block,pick up the right block,0.19302241504192352,0.23576022684574127,-0.04273781180381775,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,2,exterior_hflip,color,pick up the blue block,pick up the red block,0.2789185345172882,0.242550790309906,0.0363677442073822,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,2,exterior_hflip,side,pick up the left block,pick up the right block,0.2200745791196823,0.2905193269252777,-0.0704447478055954,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,3,exterior_hflip,color,pick up the blue block,pick up the red block,0.25735852122306824,0.23251959681510925,0.024838924407958984,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,3,exterior_hflip,side,pick up the left block,pick up the right block,0.2161094695329666,0.26275572180747986,-0.046646252274513245,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,4,exterior_hflip,color,pick up the blue block,pick up the red block,0.3368348777294159,0.2983595132827759,0.038475364446640015,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,4,exterior_hflip,side,pick up the left block,pick up the right block,0.28377509117126465,0.33778923749923706,-0.05401414632797241,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,5,exterior_hflip,color,pick up the blue block,pick up the red block,0.2674807608127594,0.23587960004806519,0.031601160764694214,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,5,exterior_hflip,side,pick up the left block,pick up the right block,0.22069151699543,0.2774907648563385,-0.05679924786090851,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,6,exterior_hflip,color,pick up the blue block,pick up the red block,0.3170785903930664,0.2853983938694,0.03168019652366638,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,6,exterior_hflip,side,pick up the left block,pick up the right block,0.27019357681274414,0.33063817024230957,-0.06044459342956543,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,7,exterior_hflip,color,pick up the blue block,pick up the red block,0.26034656167030334,0.21485081315040588,0.04549574851989746,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,7,exterior_hflip,side,pick up the left block,pick up the right block,0.20682621002197266,0.25461024045944214,-0.04778403043746948,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,8,exterior_hflip,color,pick up the blue block,pick up the red block,0.208197683095932,0.14980943500995636,0.05838824808597565,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,8,exterior_hflip,side,pick up the left block,pick up the right block,0.1468142867088318,0.17804621160030365,-0.031231924891471863,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,9,exterior_hflip,color,pick up the blue block,pick up the red block,0.24139410257339478,0.20714128017425537,0.034252822399139404,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,1,pregrasp,16,32,16,0.27586206896551724,0.23357664233576642,9,exterior_hflip,side,pick up the left block,pick up the right block,0.19403812289237976,0.24550595879554749,-0.051467835903167725,0.42407873272895813,0.005680404137820005,0.41256415843963623
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,0,exterior_hflip,color,pick up the blue block,pick up the red block,0.29703783988952637,0.2836194634437561,0.013418376445770264,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,0,exterior_hflip,side,pick up the left block,pick up the right block,0.2592405676841736,0.34029269218444824,-0.08105212450027466,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,1,exterior_hflip,color,pick up the blue block,pick up the red block,0.2333666980266571,0.2500535249710083,-0.016686826944351196,0.47257158160209656,0.01141748670488596,0.3632127642631531
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,right,left,right,2,pregrasp,32,48,16,0.41379310344827586,0.35036496350364965,1,exterior_hflip,side,pick up the left block,pick up the right block,0.2255367487668991,0.29582101106643677,-0.07028426229953766,0.47257158160209656,0.01141748670488596,0.3632127642631531
