decision,grouping,level,num_trajectories,accuracy,camera_frame_accuracy,seed_pooled_accuracy,predicted_left_rate,mean_score_left_minus_right
10pct,overall,all,24,0.7916666666666666,0.20833333333333334,0.7125,0.7083333333333334,-0.02395706805866212
10pct,target_color,blue,12,0.8333333333333334,0.16666666666666666,0.7416666666666666,0.6666666666666666,-0.017509916524092357
10pct,target_color,red,12,0.75,0.25,0.6833333333333332,0.75,-0.03040421959323188
10pct,target_side,left,12,1.0,0.0,0.9416666666666668,1.0,-0.04833086018605779
10pct,target_side,right,12,0.5833333333333334,0.4166666666666667,0.48333333333333334,0.4166666666666667,0.00041672406873355324
10pct,layout,L1,12,0.8333333333333334,0.16666666666666666,0.6916666666666668,0.6666666666666666,-0.02018719684953491
10pct,layout,L3,12,0.75,0.25,0.7333333333333334,0.75,-0.027726939267789324
10pct,blue_side,left,12,0.75,0.25,0.6749999999999999,0.75,-0.024865621643451352
10pct,blue_side,right,12,0.8333333333333334,0.16666666666666666,0.75,0.6666666666666666,-0.02304851447387288
10pct,condition,C0,8,0.625,0.375,0.625,0.875,-0.02805166249163449
10pct,condition,C1,8,1.0,0.0,0.8625,0.5,-0.013907039551995695
10pct,condition,C2,8,0.75,0.25,0.65,0.75,-0.029912502132356168
10pct,target_color_x_side,blue/left,6,1.0,0.0,0.9333333333333332,1.0,-0.042792262236277266
10pct,target_color_x_side,blue/right,6,0.6666666666666666,0.3333333333333333,0.5499999999999999,0.3333333333333333,0.007772429188092549
10pct,target_color_x_side,red/left,6,1.0,0.0,0.9500000000000001,1.0,-0.05386945813583832
10pct,target_color_x_side,red/right,6,0.5,0.5,0.4166666666666667,0.5,-0.0069389810506254425
10pct,layout_x_side,L1/left,6,1.0,0.0,0.9333333333333332,1.0,-0.042211914248764526
10pct,layout_x_side,L1/right,6,0.6666666666666666,0.3333333333333333,0.45,0.3333333333333333,0.0018375205496946971
10pct,layout_x_side,L3/left,6,1.0,0.0,0.9500000000000001,1.0,-0.05444980612335106
10pct,layout_x_side,L3/right,6,0.5,0.5,0.5166666666666666,0.5,-0.0010040724122275906
10pct,condition_x_side,C0/left,4,1.0,0.0,0.9,1.0,-0.05481321025639773
10pct,condition_x_side,C0/right,4,0.25,0.75,0.35,0.75,-0.0012901147268712526
10pct,condition_x_side,C1/left,4,1.0,0.0,0.975,1.0,-0.04407501703128219
10pct,condition_x_side,C1/right,4,1.0,0.0,0.75,0.0,0.016260937927290796
10pct,condition_x_side,C2/left,4,1.0,0.0,0.95,1.0,-0.04610435327049345
10pct,condition_x_side,C2/right,4,0.5,0.5,0.35,0.5,-0.013720650994218887
10pct,condition_x_target_color,C0/blue,4,0.75,0.25,0.625,0.75,-0.021300965445116168
10pct,condition_x_target_color,C0/red,4,0.5,0.5,0.625,1.0,-0.03480235953815282
10pct,condition_x_target_color,C1/blue,4,1.0,0.0,0.9,0.5,-0.012535836948081852
10pct,condition_x_target_color,C1/red,4,1.0,0.0,0.825,0.5,-0.015278242155909543
10pct,condition_x_target_color,C2/blue,4,0.75,0.25,0.7,0.75,-0.018692947179079055
10pct,condition_x_target_color,C2/red,4,0.75,0.25,0.6000000000000001,0.75,-0.04113205708563328
20pct,overall,all,24,0.6666666666666666,0.3333333333333333,0.6416666666666667,0.8333333333333334,-0.06577588875001918
20pct,target_color,blue,12,0.6666666666666666,0.3333333333333333,0.6583333333333333,0.8333333333333334,-0.060044208203131964
20pct,target_color,red,12,0.6666666666666666,0.3333333333333333,0.6249999999999999,0.8333333333333334,-0.0715075692969064
20pct,target_side,left,12,1.0,0.0,0.975,1.0,-0.11199786327313634
