episode_id,condition,target_side,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_left_mean,energy_right_mean,local_margin_left_minus_right_mean,local_margin_seed_sd,right_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,0,0,16,16,0.13793103448275862,10,0.2783969953656197,0.2832662671804428,-0.0048692718148231505,0.028712404004670473,0.4,0.6,0.6,-0.0048692718148231505,-0.0048692718148231505,-0.0048692718148231505,-0.0048692718148231505
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,1,16,32,16,0.27586206896551724,10,0.211679869890213,0.2577461048960686,-0.04606623500585556,0.014639918066034376,0.0,1.0,1.0,-0.05093550682067871,-0.025467753410339355,-0.02409452130397161,-0.021650170902993416
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,2,32,48,16,0.41379310344827586,10,0.18685376048088073,0.27752757221460345,-0.09067381173372269,0.008556378425851874,0.0,1.0,1.0,-0.1416093185544014,-0.04720310618480047,-0.043117175712471915,-0.036747233500100396
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,3,48,64,16,0.5517241379310345,10,0.1880987651646137,0.2857548877596855,-0.0976561225950718,0.01678318845129461,0.0,1.0,1.0,-0.23926544114947318,-0.059816360287368295,-0.05360543472835651,-0.04470688212244372
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,4,64,80,16,0.6896551724137931,10,0.19331872165203096,0.20254664421081542,-0.009227922558784485,0.0032285085259103528,0.0,1.0,1.0,-0.24849336370825767,-0.04969867274165153,-0.0476884331057469,-0.04178292796832065
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,5,80,96,16,0.8275862068965517,10,0.23121119439601898,0.233100089430809,-0.0018888950347900391,0.0015221929648850845,0.1,0.9,0.9,-0.2503822587430477,-0.04173037645717462,-0.04352483873565991,-0.03964437855665097
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,6,96,112,16,0.9655172413793104,10,0.22009552717208863,0.22135697305202484,-0.0012614458799362182,0.0006450604608265466,0.0,1.0,1.0,-0.2516437046229839,-0.035949100660426274,-0.04110978771533284,-0.038280498385237186
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,7,112,116,4,1.0,10,0.22402362525463104,0.2299355983734131,-0.005911973118782043,0.0021952333496065334,0.0,1.0,1.0,-0.25755567774176596,-0.032194459717720746,-0.04013207064320643,-0.03750884594709192
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,0,0,16,16,0.125,10,0.3371789216995239,0.3811918795108795,-0.04401295781135559,0.026695523617828034,0.0,1.0,1.0,-0.04401295781135559,-0.04401295781135559,-0.04401295781135559,-0.04401295781135559
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,1,16,32,16,0.25,10,0.2578103244304657,0.31926405131816865,-0.06145372688770294,0.022516575764638343,0.0,1.0,1.0,-0.10546668469905854,-0.05273334234952927,-0.052151983380317686,-0.05111716557864007
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,2,32,48,16,0.375,10,0.2630255162715912,0.2958835795521736,-0.032858063280582425,0.008733220399177302,0.0,1.0,1.0,-0.13832474797964095,-0.04610824932654698,-0.04663943478039333,-0.04712347867596319
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,3,48,64,16,0.5,10,0.2169613152742386,0.21561910957098007,0.0013422057032585143,0.004818906617919138,0.7,0.7,0.3,-0.13698254227638243,-0.03424563556909561,-0.03741219622584489,-0.040789923366844165
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,4,64,80,16,0.625,10,0.27836239635944365,0.27953899949789046,-0.0011766031384468079,0.006165585769839989,0.4,0.6,0.6,-0.13815914541482924,-0.027631829082965846,-0.03258078381419181,-0.037525241040616344
