episode_id,condition,target_side,pregrasp_chunks,num_seeds,prediction_10pct,prediction_20pct,prediction_30pct,prediction_40pct,prediction_100pct,margin_10pct,margin_20pct,margin_30pct,margin_40pct,margin_100pct,seed_correct_rate_10pct,seed_correct_rate_20pct,seed_correct_rate_30pct,seed_correct_rate_40pct,seed_correct_rate_100pct,seed_prediction_agreement_10pct,seed_prediction_agreement_20pct,seed_prediction_agreement_30pct,seed_prediction_agreement_40pct,seed_prediction_agreement_100pct,early_correct_20_to_40pct,late_reversal,flat_final_score,flat_final_prediction,linear_final_score,linear_final_prediction,exponential_final_score,exponential_final_prediction,flat_seed_correct_rate,linear_seed_correct_rate,exponential_seed_correct_rate,flat_seed_prediction_agreement,linear_seed_prediction_agreement,exponential_seed_prediction_agreement,final_prediction_seed_agreement,final_prediction_stable_80pct,mean_chunk_sign_seed_agreement,minimum_chunk_sign_seed_agreement
2026_08_18_00_40_18_199635_L1_left_C0,C0,left,8,10,L,L,L,L,L,-0.0035302220657467843,-0.02559907756745816,-0.06680342387408017,-0.13254193738102915,-0.25755567774176596,0.6,0.7,1.0,1.0,1.0,0.6,0.7,1.0,1.0,1.0,1,0,-0.032194459717720746,L,-0.04013207064320643,L,-0.03750884594709192,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9375,0.6
2026_08_18_00_40_47_448240_L1_left_C1,C1,left,8,10,L,L,L,L,L,-0.035210366249084475,-0.08088519394397736,-0.1186099100112915,-0.13805630683898926,-0.13894421756267547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.017368027195334434,L,-0.027405313567982776,L,-0.03358731420739049,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8875000000000001,0.6
2026_08_18_00_41_27_880068_L1_left_C2,C2,left,10,10,L,L,L,L,L,-0.035582328736782076,-0.0940979239344597,-0.13063352901488542,-0.12274928793311118,-0.011029730737209318,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1,0,-0.0011029730737209319,L,-0.009047772125764329,L,-0.018081731330699128,L,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0.93,0.6
2026_08_18_00_45_28_073578_L1_right_C0,C0,right,8,10,L,L,L,L,L,-0.01674908854067326,-0.04204729117453099,-0.07141407741233707,-0.09714811362326146,-0.11660549640655518,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,-0.014575687050819398,L,-0.020093260622686807,L,-0.023345357554027234,L,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.8500000000000001,0.5
2026_08_18_00_45_56_961481_L1_right_C1,C1,right,8,10,R,L,L,L,L,0.008667736053466797,-0.0212580680847168,-0.05825803279876708,-0.07790539652109145,-0.12651907950639724,0.6,0.3,0.1,0.0,0.0,0.6,0.7,0.9,1.0,1.0,0,0,-0.015814884938299655,L,-0.016821437494622334,L,-0.015639582198370878,L,0.0,0.0,0.2,1.0,1.0,0.8,1.0,1,0.9,0.6
2026_08_18_00_46_25_193744_L1_right_C2,C2,right,10,10,R,R,L,L,L,0.00995220310986042,0.002930339649319647,-0.04359186638146637,-0.060852957069873814,-0.15943441689014434,0.6,0.5,0.2,0.1,0.0,0.6,0.5,0.8,0.9,1.0,1,1,-0.015943441689014435,L,-0.015757990073073994,L,-0.012774264389524713,L,0.0,0.0,0.1,1.0,1.0,0.9,1.0,1,0.8699999999999999,0.6
2026_08_18_00_48_13_457980_L1_left_C0,C0,left,8,10,L,L,L,L,L,-0.05989019569009543,-0.12437491819262506,-0.1885506163164973,-0.2429306863248348,-0.31708127632737154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.03963515954092144,L,-0.05699959345575836,L,-0.06605674672676652,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9625,0.8
2026_08_18_00_49_05_482404_L1_left_C1,C1,left,8,10,L,L,L,L,L,-0.04876137971878052,-0.12233700513839724,-0.17713469445705413,-0.2010676884651184,-0.21278927028179165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.026598658785223956,L,-0.042057048446602296,L,-0.05073438024668361,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.9375,0.7
2026_08_18_00_49_36_378126_L1_left_C2,C2,left,10,10,L,L,L,L,L,-0.07029699303209783,-0.15007701799273493,-0.21094686053693293,-0.22784163132309915,-0.18605044931173326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-0.018605044931173327,L,-0.03314652659676292,L,-0.04417930774729493,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.99,0.9
2026_08_18_00_50_22_202653_L1_right_C0,C0,right,8,10,R,R,L,L,L,0.02741661187261343,0.01564994871616363,-0.023208055086433886,-0.07195350602269174,-0.12077378332614896,0.9,0.7,0.5,0.1,0.0,0.9,0.7,0.5,0.9,1.0,1,1,-0.01509672291576862,L,-0.015275884957777128,L,-0.0113308318322678,L,0.0,0.1,0.3,1.0,0.9,0.7,1.0,1,0.95,0.7
