episode_id,path,layout_id,condition,target_color,target_side,blue_block_side,red_block_side,recorded_color_instruction,scored_side_instruction,length,motion_start,grasp_start,pregrasp_frames,grasp_x,grasp_y,grasp_z
2026_08_18_00_40_18_199635_L1_left_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_40_18_199635_L1_left_C0/trajectory.h5,L1,C0,blue,left,left,right,pick up the blue block,pick up the left block,137,0,116,116,0.6421027183532715,0.03715485334396362,0.18957476317882538
2026_08_18_00_40_47_448240_L1_left_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_40_47_448240_L1_left_C1/trajectory.h5,L1,C1,blue,left,left,right,pick up the blue block,pick up the left block,149,0,128,128,0.6416912078857422,0.04551049694418907,0.18981681764125824
2026_08_18_00_41_27_880068_L1_left_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_41_27_880068_L1_left_C2/trajectory.h5,L1,C2,blue,left,left,right,pick up the blue block,pick up the left block,177,0,156,156,0.6416035890579224,0.04537796974182129,0.18999971449375153
2026_08_18_00_45_28_073578_L1_right_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_45_28_073578_L1_right_C0/trajectory.h5,L1,C0,red,right,left,right,pick up the red block,pick up the right block,137,0,116,116,0.6416609883308411,-0.03996047377586365,0.1896570771932602
2026_08_18_00_45_56_961481_L1_right_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_45_56_961481_L1_right_C1/trajectory.h5,L1,C1,red,right,left,right,pick up the red block,pick up the right block,149,0,128,128,0.6410563588142395,-0.04576452448964119,0.19002866744995117
2026_08_18_00_46_25_193744_L1_right_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_46_25_193744_L1_right_C2/trajectory.h5,L1,C2,red,right,left,right,pick up the red block,pick up the right block,177,0,156,156,0.6410459876060486,-0.04583442211151123,0.18990986049175262
2026_08_18_00_48_13_457980_L1_left_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_48_13_457980_L1_left_C0/trajectory.h5,L1,C0,red,left,right,left,pick up the red block,pick up the left block,137,0,116,116,0.6422917246818542,0.037188559770584106,0.18937627971172333
2026_08_18_00_49_05_482404_L1_left_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_49_05_482404_L1_left_C1/trajectory.h5,L1,C1,red,left,right,left,pick up the red block,pick up the left block,149,0,128,128,0.6417425274848938,0.04522664472460747,0.18948589265346527
2026_08_18_00_49_36_378126_L1_left_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_49_36_378126_L1_left_C2/trajectory.h5,L1,C2,red,left,right,left,pick up the red block,pick up the left block,177,0,156,156,0.641427755355835,0.045219432562589645,0.19022369384765625
2026_08_18_00_50_22_202653_L1_right_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_50_22_202653_L1_right_C0/trajectory.h5,L1,C0,blue,right,right,left,pick up the blue block,pick up the right block,137,0,116,116,0.6417339444160461,-0.0399898998439312,0.18965691328048706
2026_08_18_00_50_52_802516_L1_right_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_50_52_802516_L1_right_C1/trajectory.h5,L1,C1,blue,right,right,left,pick up the blue block,pick up the right block,149,0,128,128,0.6410631537437439,-0.0456470251083374,0.18990039825439453
2026_08_18_00_51_25_610649_L1_right_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_51_25_610649_L1_right_C2/trajectory.h5,L1,C2,blue,right,right,left,pick up the blue block,pick up the right block,177,0,156,156,0.641247034072876,-0.04586264118552208,0.18990811705589294
2026_08_18_00_52_54_907596_L3_right_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_52_54_907596_L3_right_C0/trajectory.h5,L3,C0,blue,right,right,left,pick up the blue block,pick up the right block,142,0,121,121,0.6673004627227783,-0.03989013656973839,0.18881075084209442
2026_08_18_00_53_23_339528_L3_right_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_53_23_339528_L3_right_C1/trajectory.h5,L3,C1,blue,right,right,left,pick up the blue block,pick up the right block,153,0,132,132,0.6667606234550476,-0.0460333526134491,0.189564049243927
2026_08_18_00_53_52_283658_L3_right_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_53_52_283658_L3_right_C2/trajectory.h5,L3,C2,blue,right,right,left,pick up the blue block,pick up the right block,180,0,159,159,0.6667026281356812,-0.04665958508849144,0.18934877216815948
2026_08_18_00_54_32_747715_L3_left_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_54_32_747715_L3_left_C0/trajectory.h5,L3,C0,red,left,right,left,pick up the red block,pick up the left block,141,0,120,120,0.6673747301101685,0.03695116937160492,0.18872782588005066
2026_08_18_00_55_01_843645_L3_left_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_55_01_843645_L3_left_C1/trajectory.h5,L3,C1,red,left,right,left,pick up the red block,pick up the left block,153,0,132,132,0.6669344305992126,0.04557102173566818,0.18925707042217255
2026_08_18_00_55_32_860317_L3_left_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_55_32_860317_L3_left_C2/trajectory.h5,L3,C2,red,left,right,left,pick up the red block,pick up the left block,196,0,175,175,0.6672453880310059,0.0456446148455143,0.1894770711660385
2026_08_18_00_56_19_492037_L3_right_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_56_19_492037_L3_right_C0/trajectory.h5,L3,C0,red,right,left,right,pick up the red block,pick up the right block,141,0,120,120,0.6673388481140137,-0.03952810540795326,0.18884211778640747
2026_08_18_00_56_48_148319_L3_right_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_56_48_148319_L3_right_C1/trajectory.h5,L3,C1,red,right,left,right,pick up the red block,pick up the right block,153,0,132,132,0.6667479872703552,-0.04585444554686546,0.18947070837020874
2026_08_18_00_57_15_980084_L3_right_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_57_15_980084_L3_right_C2/trajectory.h5,L3,C2,red,right,left,right,pick up the red block,pick up the right block,180,0,159,159,0.6664816737174988,-0.045998744666576385,0.1893809735774994
2026_08_18_00_57_54_988496_L3_left_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_57_54_988496_L3_left_C0/trajectory.h5,L3,C0,blue,left,left,right,pick up the blue block,pick up the left block,141,0,120,120,0.6671918630599976,0.03760911151766777,0.18886196613311768
