episode_id,layout_id,condition,target_color,target_side,blue_block_side,chunk_index,progress_pregrasp,seed,mode,first_prompt,second_prompt,energy_first,energy_second
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,left_left,pick up the left block,pick up the left block,0.32532915472984314,0.32532915472984314
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,right_right,pick up the right block,pick up the right block,0.32460343837738037,0.32460343837738037
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,left_right,pick up the left block,pick up the right block,0.32532915472984314,0.32460343837738037
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,right_left,pick up the right block,pick up the left block,0.32460343837738037,0.32532915472984314
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,left_left,pick up the left block,pick up the left block,0.2509883940219879,0.2509883940219879
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,right_right,pick up the right block,pick up the right block,0.23373551666736603,0.23373551666736603
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,left_right,pick up the left block,pick up the right block,0.2509883940219879,0.23373551666736603
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,right_left,pick up the right block,pick up the left block,0.23373551666736603,0.2509883940219879
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,left_left,pick up the left block,pick up the left block,0.3013498783111572,0.3013498783111572
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,right_right,pick up the right block,pick up the right block,0.3437979221343994,0.3437979221343994
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,left_right,pick up the left block,pick up the right block,0.3013498783111572,0.3437979221343994
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,right_left,pick up the right block,pick up the left block,0.3437979221343994,0.3013498783111572
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,0,left_left,pick up the left block,pick up the left block,0.24305251240730286,0.24305251240730286
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,0,right_right,pick up the right block,pick up the right block,0.34800848364830017,0.34800848364830017
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,0,left_right,pick up the left block,pick up the right block,0.24305251240730286,0.34800848364830017
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,0,right_left,pick up the right block,pick up the left block,0.34800848364830017,0.24305251240730286
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,1,left_left,pick up the left block,pick up the left block,0.2177344262599945,0.2177344262599945
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,1,right_right,pick up the right block,pick up the right block,0.30080446600914,0.30080446600914
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,1,left_right,pick up the left block,pick up the right block,0.2177344262599945,0.30080446600914
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,1,right_left,pick up the right block,pick up the left block,0.30080446600914,0.2177344262599945
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,2,left_left,pick up the left block,pick up the left block,0.23647662997245789,0.23647662997245789
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,2,right_right,pick up the right block,pick up the right block,0.3288727402687073,0.3288727402687073
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,2,left_right,pick up the left block,pick up the right block,0.23647662997245789,0.3288727402687073
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,2,0.41379310344827586,2,right_left,pick up the right block,pick up the left block,0.3288727402687073,0.23647662997245789
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,0,left_left,pick up the left block,pick up the left block,0.2572331428527832,0.2572331428527832
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,0,right_right,pick up the right block,pick up the right block,0.258440226316452,0.258440226316452
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,0,left_right,pick up the left block,pick up the right block,0.2572331428527832,0.258440226316452
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,0,right_left,pick up the right block,pick up the left block,0.258440226316452,0.2572331428527832
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,1,left_left,pick up the left block,pick up the left block,0.1574874222278595,0.1574874222278595
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,1,right_right,pick up the right block,pick up the right block,0.16294366121292114,0.16294366121292114
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,1,left_right,pick up the left block,pick up the right block,0.1574874222278595,0.16294366121292114
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,1,right_left,pick up the right block,pick up the left block,0.16294366121292114,0.1574874222278595
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,2,left_left,pick up the left block,pick up the left block,0.23143288493156433,0.23143288493156433
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,2,right_right,pick up the right block,pick up the right block,0.2387407124042511,0.2387407124042511
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,2,left_right,pick up the left block,pick up the right block,0.23143288493156433,0.2387407124042511
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,7,1.0,2,right_left,pick up the right block,pick up the left block,0.2387407124042511,0.23143288493156433
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,0,0.125,0,left_left,pick up the left block,pick up the left block,0.34099483489990234,0.34099483489990234
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,0,0.125,0,right_right,pick up the right block,pick up the right block,0.3557654321193695,0.3557654321193695
2026_08_18_00_40_47_448240_L1_left_C1,L1,C1,blue,left,left,0,0.125,0,left_right,pick up the left block,pick up the right block,0.34099483489990234,0.3557654321193695
