episode_id,layout_id,condition,target_color,target_side,blue_block_side,chunk_index,progress_pregrasp,seed,mode,first_prompt,second_prompt,energy_first,energy_second
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,blue_blue,pick up the blue block,pick up the blue block,0.3451828062534332,0.3451828062534332
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,red_red,pick up the red block,pick up the red block,0.3257603347301483,0.3257603347301483
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,blue_red,pick up the blue block,pick up the red block,0.3451828062534332,0.3257603347301483
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,0,red_blue,pick up the red block,pick up the blue block,0.3257603347301483,0.3451828062534332
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,blue_blue,pick up the blue block,pick up the blue block,0.25195226073265076,0.25195226073265076
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,red_red,pick up the red block,pick up the red block,0.23170757293701172,0.23170757293701172
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,blue_red,pick up the blue block,pick up the red block,0.25195226073265076,0.23170757293701172
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,1,red_blue,pick up the red block,pick up the blue block,0.23170757293701172,0.25195226073265076
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,blue_blue,pick up the blue block,pick up the blue block,0.359934538602829,0.359934538602829
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,red_red,pick up the red block,pick up the red block,0.3433007299900055,0.3433007299900055
2026_08_18_00_40_18_199635_L1_left_C0,L1,C0,blue,left,left,0,0.13793103448275862,2,blue_red,pick up the blue block,pick up the red block,0.359934538602829,0.3433007299900055
