episode_id,target_side,chunk_index,progress_pregrasp,seed,mode,first_prompt,second_prompt,energy_first,energy_second
00_L0_C1_left,left,0,0.125,0,left_left,pick up the left block,pick up the left block,0.3264492154121399,0.3264492154121399
00_L0_C1_left,left,0,0.125,0,right_right,pick up the right block,pick up the right block,0.3421522080898285,0.3421522080898285
00_L0_C1_left,left,0,0.125,0,left_right,pick up the left block,pick up the right block,0.3264492154121399,0.3421522080898285
00_L0_C1_left,left,0,0.125,0,right_left,pick up the right block,pick up the left block,0.3421522080898285,0.3264492154121399
00_L0_C1_left,left,0,0.125,1,left_left,pick up the left block,pick up the left block,0.27141815423965454,0.27141815423965454
00_L0_C1_left,left,0,0.125,1,right_right,pick up the right block,pick up the right block,0.2665187418460846,0.2665187418460846
00_L0_C1_left,left,0,0.125,1,left_right,pick up the left block,pick up the right block,0.27141815423965454,0.2665187418460846
00_L0_C1_left,left,0,0.125,1,right_left,pick up the right block,pick up the left block,0.2665187418460846,0.27141815423965454
00_L0_C1_left,left,0,0.125,2,left_left,pick up the left block,pick up the left block,0.314594566822052,0.314594566822052
00_L0_C1_left,left,0,0.125,2,right_right,pick up the right block,pick up the right block,0.3354552686214447,0.3354552686214447
00_L0_C1_left,left,0,0.125,2,left_right,pick up the left block,pick up the right block,0.314594566822052,0.3354552686214447
00_L0_C1_left,left,0,0.125,2,right_left,pick up the right block,pick up the left block,0.3354552686214447,0.314594566822052
00_L0_C1_left,left,2,0.375,0,left_left,pick up the left block,pick up the left block,0.3434051275253296,0.3434051275253296
00_L0_C1_left,left,2,0.375,0,right_right,pick up the right block,pick up the right block,0.3928182125091553,0.3928182125091553
00_L0_C1_left,left,2,0.375,0,left_right,pick up the left block,pick up the right block,0.3434051275253296,0.3928182125091553
00_L0_C1_left,left,2,0.375,0,right_left,pick up the right block,pick up the left block,0.3928182125091553,0.3434051275253296
00_L0_C1_left,left,2,0.375,1,left_left,pick up the left block,pick up the left block,0.2709833085536957,0.2709833085536957
00_L0_C1_left,left,2,0.375,1,right_right,pick up the right block,pick up the right block,0.29656949639320374,0.29656949639320374
00_L0_C1_left,left,2,0.375,1,left_right,pick up the left block,pick up the right block,0.2709833085536957,0.29656949639320374
00_L0_C1_left,left,2,0.375,1,right_left,pick up the right block,pick up the left block,0.29656949639320374,0.2709833085536957
00_L0_C1_left,left,2,0.375,2,left_left,pick up the left block,pick up the left block,0.31329265236854553,0.31329265236854553
00_L0_C1_left,left,2,0.375,2,right_right,pick up the right block,pick up the right block,0.3591102957725525,0.3591102957725525
00_L0_C1_left,left,2,0.375,2,left_right,pick up the left block,pick up the right block,0.31329265236854553,0.3591102957725525
00_L0_C1_left,left,2,0.375,2,right_left,pick up the right block,pick up the left block,0.3591102957725525,0.31329265236854553
00_L0_C1_left,left,7,1.0,0,left_left,pick up the left block,pick up the left block,0.2904844582080841,0.2904844582080841
00_L0_C1_left,left,7,1.0,0,right_right,pick up the right block,pick up the right block,0.29023244976997375,0.29023244976997375
00_L0_C1_left,left,7,1.0,0,left_right,pick up the left block,pick up the right block,0.2904844582080841,0.29023244976997375
00_L0_C1_left,left,7,1.0,0,right_left,pick up the right block,pick up the left block,0.29023244976997375,0.2904844582080841
00_L0_C1_left,left,7,1.0,1,left_left,pick up the left block,pick up the left block,0.1757788360118866,0.1757788360118866
00_L0_C1_left,left,7,1.0,1,right_right,pick up the right block,pick up the right block,0.1794576495885849,0.1794576495885849
00_L0_C1_left,left,7,1.0,1,left_right,pick up the left block,pick up the right block,0.1757788360118866,0.1794576495885849
00_L0_C1_left,left,7,1.0,1,right_left,pick up the right block,pick up the left block,0.1794576495885849,0.1757788360118866
00_L0_C1_left,left,7,1.0,2,left_left,pick up the left block,pick up the left block,0.27282798290252686,0.27282798290252686
00_L0_C1_left,left,7,1.0,2,right_right,pick up the right block,pick up the right block,0.2680726647377014,0.2680726647377014
