split,condition,pair_index,episode_id,target_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,0,pregrasp,0,16,16,0.125,0.10738255033557047,0,8,0.3,0.7,8,0.6082711219787598,0.6288048028945923,0.6082711219787598,0.6288048028945923,0.02053368091583252,0.37187665700912476,0.025239121168851852,0.4779358208179474
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,0,pregrasp,0,16,16,0.125,0.10738255033557047,1,8,0.3,0.7,8,0.5788662433624268,0.6028766632080078,0.5788662433624268,0.6028766632080078,0.024010419845581055,0.37187665700912476,0.025239121168851852,0.4779358208179474
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,0,pregrasp,0,16,16,0.125,0.10738255033557047,2,8,0.3,0.7,8,0.5057658553123474,0.5223530530929565,0.5057658553123474,0.5223530530929565,0.01658719778060913,0.37187665700912476,0.025239121168851852,0.4779358208179474
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,1,pregrasp,16,32,16,0.25,0.21476510067114093,0,8,0.3,0.7,8,0.4680444598197937,0.4847814738750458,0.4680444598197937,0.4847814738750458,0.016737014055252075,0.4006977677345276,0.07220770418643951,0.43831801414489746
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,1,pregrasp,16,32,16,0.25,0.21476510067114093,1,8,0.3,0.7,8,0.5278946757316589,0.543694019317627,0.5278946757316589,0.543694019317627,0.015799343585968018,0.4006977677345276,0.07220770418643951,0.43831801414489746
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,1,pregrasp,16,32,16,0.25,0.21476510067114093,2,8,0.3,0.7,8,0.47225624322891235,0.486303448677063,0.47225624322891235,0.486303448677063,0.014047205448150635,0.4006977677345276,0.07220770418643951,0.43831801414489746
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,2,pregrasp,32,48,16,0.375,0.3221476510067114,0,8,0.3,0.7,8,0.5839996933937073,0.5904840230941772,0.5839996933937073,0.5904840230941772,0.006484329700469971,0.4432421028614044,0.10172133147716522,0.3929961323738098
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,2,pregrasp,32,48,16,0.375,0.3221476510067114,1,8,0.3,0.7,8,0.5947268605232239,0.6144903302192688,0.5947268605232239,0.6144903302192688,0.019763469696044922,0.4432421028614044,0.10172133147716522,0.3929961323738098
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,2,pregrasp,32,48,16,0.375,0.3221476510067114,2,8,0.3,0.7,8,0.45539188385009766,0.4614483714103699,0.45539188385009766,0.4614483714103699,0.006056487560272217,0.4432421028614044,0.10172133147716522,0.3929961323738098
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,3,pregrasp,48,64,16,0.5,0.42953020134228187,0,8,0.3,0.7,8,0.5982208251953125,0.6109001636505127,0.5982208251953125,0.6109001636505127,0.012679338455200195,0.48977047204971313,0.1116723045706749,0.3431423306465149
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,3,pregrasp,48,64,16,0.5,0.42953020134228187,1,8,0.3,0.7,8,0.5422137975692749,0.5385786294937134,0.5422137975692749,0.5385786294937134,-0.0036351680755615234,0.48977047204971313,0.1116723045706749,0.3431423306465149
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,3,pregrasp,48,64,16,0.5,0.42953020134228187,2,8,0.3,0.7,8,0.49100059270858765,0.48957258462905884,0.49100059270858765,0.48957258462905884,-0.0014280080795288086,0.48977047204971313,0.1116723045706749,0.3431423306465149
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,4,pregrasp,64,80,16,0.625,0.5369127516778524,0,8,0.3,0.7,8,0.6323426365852356,0.6382613182067871,0.6323426365852356,0.6382613182067871,0.005918681621551514,0.5364757776260376,0.10176117718219757,0.2940201461315155
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,4,pregrasp,64,80,16,0.625,0.5369127516778524,1,8,0.3,0.7,8,0.5671090483665466,0.5710141062736511,0.5671090483665466,0.5710141062736511,0.003905057907104492,0.5364757776260376,0.10176117718219757,0.2940201461315155
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,4,pregrasp,64,80,16,0.625,0.5369127516778524,2,8,0.3,0.7,8,0.6654521822929382,0.6655519604682922,0.6654521822929382,0.6655519604682922,9.97781753540039e-05,0.5364757776260376,0.10176117718219757,0.2940201461315155
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,5,pregrasp,80,96,16,0.75,0.6442953020134228,0,8,0.3,0.7,8,0.5400142073631287,0.5420535206794739,0.5400142073631287,0.5420535206794739,0.002039313316345215,0.5816958546638489,0.07941457629203796,0.2461690902709961
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,5,pregrasp,80,96,16,0.75,0.6442953020134228,1,8,0.3,0.7,8,0.5769369006156921,0.5836519002914429,0.5769369006156921,0.5836519002914429,0.006714999675750732,0.5816958546638489,0.07941457629203796,0.2461690902709961
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,5,pregrasp,80,96,16,0.75,0.6442953020134228,2,8,0.3,0.7,8,0.6742474436759949,0.6779801249504089,0.6742474436759949,0.6779801249504089,0.0037326812744140625,0.5816958546638489,0.07941457629203796,0.2461690902709961
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,6,pregrasp,96,112,16,0.875,0.7516778523489933,0,8,0.3,0.7,8,0.5477491021156311,0.5497207641601562,0.5477491021156311,0.5497207641601562,0.0019716620445251465,0.6253124475479126,0.051184285432100296,0.20051544904708862
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,6,pregrasp,96,112,16,0.875,0.7516778523489933,1,8,0.3,0.7,8,0.6302679181098938,0.6401634812355042,0.6302679181098938,0.6401634812355042,0.009895563125610352,0.6253124475479126,0.051184285432100296,0.20051544904708862
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,6,pregrasp,96,112,16,0.875,0.7516778523489933,2,8,0.3,0.7,8,0.636779248714447,0.6418401002883911,0.636779248714447,0.6418401002883911,0.005060851573944092,0.6253124475479126,0.051184285432100296,0.20051544904708862
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,7,pregrasp,112,128,16,1.0,0.8590604026845637,0,8,0.3,0.7,8,0.5888511538505554,0.5953366160392761,0.5888511538505554,0.5953366160392761,0.006485462188720703,0.635952353477478,0.04640251398086548,0.19016507267951965
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,7,pregrasp,112,128,16,1.0,0.8590604026845637,1,8,0.3,0.7,8,0.5552788972854614,0.5596813559532166,0.5552788972854614,0.5596813559532166,0.004402458667755127,0.635952353477478,0.04640251398086548,0.19016507267951965
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,7,pregrasp,112,128,16,1.0,0.8590604026845637,2,8,0.3,0.7,8,0.5700708627700806,0.5764063000679016,0.5700708627700806,0.5764063000679016,0.006335437297821045,0.635952353477478,0.04640251398086548,0.19016507267951965
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,8,postgrasp,128,144,16,1.0,0.9664429530201343,0,8,0.3,0.7,8,0.09433478862047195,0.09337994456291199,0.09433478862047195,0.09337994456291199,-0.000954844057559967,0.6359682679176331,0.046382542699575424,0.19015908241271973
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,8,postgrasp,128,144,16,1.0,0.9664429530201343,1,8,0.3,0.7,8,0.12418345361948013,0.12209443747997284,0.12418345361948013,0.12209443747997284,-0.0020890161395072937,0.6359682679176331,0.046382542699575424,0.19015908241271973
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,8,postgrasp,128,144,16,1.0,0.9664429530201343,2,8,0.3,0.7,8,0.1346600502729416,0.13356474041938782,0.1346600502729416,0.13356474041938782,-0.001095309853553772,0.6359682679176331,0.046382542699575424,0.19015908241271973
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,9,postgrasp,144,149,5,1.0,1.0,0,8,0.3,0.7,8,0.13048739731311798,0.12966357171535492,0.13048739731311798,0.12966357171535492,-0.0008238255977630615,0.635970413684845,0.0463838055729866,0.19015942513942719
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,9,postgrasp,144,149,5,1.0,1.0,1,8,0.3,0.7,8,0.11672908067703247,0.11639319360256195,0.11672908067703247,0.11639319360256195,-0.00033588707447052,0.635970413684845,0.0463838055729866,0.19015942513942719
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,9,postgrasp,144,149,5,1.0,1.0,2,8,0.3,0.7,8,0.11119388788938522,0.10939052700996399,0.11119388788938522,0.10939052700996399,-0.0018033608794212341,0.635970413684845,0.0463838055729866,0.19015942513942719
