split,condition,pair_index,episode_id,target_side,instruction,chunk_index,phase,start,stop,executed_steps,progress_pregrasp,progress_full,seed,num_samples,tau_min,tau_max,action_dims,energy_left,energy_right,energy_true,energy_alternative,margin_alternative_minus_true,cartesian_x,cartesian_y,cartesian_z
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,0,pregrasp,0,16,16,0.125,0.10738255033557047,0,8,0.3,0.7,8,0.32666221261024475,0.3423194885253906,0.32666221261024475,0.3423194885253906,0.015657275915145874,0.37187665700912476,0.025239121168851852,0.4779358208179474
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,0,pregrasp,0,16,16,0.125,0.10738255033557047,1,8,0.3,0.7,8,0.27148544788360596,0.26663705706596375,0.27148544788360596,0.26663705706596375,-0.004848390817642212,0.37187665700912476,0.025239121168851852,0.4779358208179474
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,0,pregrasp,0,16,16,0.125,0.10738255033557047,2,8,0.3,0.7,8,0.3144899904727936,0.3355565667152405,0.3144899904727936,0.3355565667152405,0.0210665762424469,0.37187665700912476,0.025239121168851852,0.4779358208179474
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,1,pregrasp,16,32,16,0.25,0.21476510067114093,0,8,0.3,0.7,8,0.29182910919189453,0.31759458780288696,0.29182910919189453,0.31759458780288696,0.02576547861099243,0.4006977677345276,0.07220770418643951,0.43831801414489746
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,1,pregrasp,16,32,16,0.25,0.21476510067114093,1,8,0.3,0.7,8,0.21086327731609344,0.23846757411956787,0.21086327731609344,0.23846757411956787,0.027604296803474426,0.4006977677345276,0.07220770418643951,0.43831801414489746
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,1,pregrasp,16,32,16,0.25,0.21476510067114093,2,8,0.3,0.7,8,0.2535127103328705,0.2870931923389435,0.2535127103328705,0.2870931923389435,0.033580482006073,0.4006977677345276,0.07220770418643951,0.43831801414489746
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,2,pregrasp,32,48,16,0.375,0.3221476510067114,0,8,0.3,0.7,8,0.34338900446891785,0.39304059743881226,0.34338900446891785,0.39304059743881226,0.04965159296989441,0.4432421028614044,0.10172133147716522,0.3929961323738098
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,2,pregrasp,32,48,16,0.375,0.3221476510067114,1,8,0.3,0.7,8,0.27115580439567566,0.2965392470359802,0.27115580439567566,0.2965392470359802,0.025383442640304565,0.4432421028614044,0.10172133147716522,0.3929961323738098
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,2,pregrasp,32,48,16,0.375,0.3221476510067114,2,8,0.3,0.7,8,0.31327107548713684,0.35921987891197205,0.31327107548713684,0.35921987891197205,0.045948803424835205,0.4432421028614044,0.10172133147716522,0.3929961323738098
test,C0_natural_direct,0,00_L0_C1_left,left,pick up the left block,3,pregrasp,48,64,16,0.5,0.42953020134228187,0,8,0.3,0.7,8,0.1593112051486969,0.18566559255123138,0.1593112051486969,0.18566559255123138,0.026354387402534485,0.48977047204971313,0.1116723045706749,0.3431423306465149
