run,metric,spearman_rho,pearson_r,linear_slope_per_alpha,nondecreasing_steps_of_4
pi05_droid,mean_true_energy,0.7999999999999999,0.651560441337349,0.009280569127036401,2
pi05_droid,mean_local_margin,0.49999999999999994,0.5600646864877932,0.0029842860910489614,2
pi05_droid,mean_final_cumulative_margin,0.3,0.5285141135479258,0.021373556926846515,2
pi05_droid,pair_discrimination,0.3,0.5285141135479258,0.04274711385369303,2
pi05_droid,final_accuracy,nan,nan,-8.107922592650825e-17,4
pi05_droid,raw_sign_early_auc,-0.20519567041703085,-0.3573932270751547,-0.00045482972312242177,1
pi05_droid,probability_early_auc_tau1,0.39999999999999997,0.47393297052881944,0.003059431992673859,3
pi05_droid,weighted_probability_auc_tau1,0.39999999999999997,0.4010527262852633,0.0017795604178154063,3
pi05_droid,accuracy_at_30pct_linear,nan,nan,-8.107922592650825e-17,4
pi05_droid,mean_margin_at_30pct_linear,0.3,0.24114652152604305,0.003994853828723234,2
pi05_droid,accuracy_at_50pct_linear,nan,nan,-8.107922592650825e-17,4
pi05_droid,mean_margin_at_50pct_linear,0.39999999999999997,0.39993773997088766,0.011059417389333252,3
pi05_base,mean_true_energy,0.8999999999999998,0.8688416787617501,0.013937015619335882,3
pi05_base,mean_local_margin,-0.3,-0.3057437234910628,-0.00020133643583567044,2
pi05_base,mean_final_cumulative_margin,-0.3,-0.300467028007595,-0.0015922822058200828,2
pi05_base,pair_discrimination,-0.3,-0.300467028007595,-0.0031845644116401655,2
pi05_base,final_accuracy,-0.05270462766947299,0.0,-1.621584518530165e-16,2
pi05_base,raw_sign_early_auc,-0.6,-0.48333005101662924,-0.14651018619122994,2
pi05_base,probability_early_auc_tau1,-0.39999999999999997,-0.3448952881726049,-0.00029031705353420393,1
pi05_base,weighted_probability_auc_tau1,-0.39999999999999997,-0.4006876792667961,-0.0002521003656364892,1
pi05_base,accuracy_at_30pct_linear,-0.5270462766947298,-0.5669467095138409,-0.30000000000000004,2
pi05_base,mean_margin_at_30pct_linear,-0.39999999999999997,-0.4082568340577013,-0.0013485399633646016,1
pi05_base,accuracy_at_50pct_linear,-0.22360679774997896,-0.22360679774997896,-0.10000000000000005,3
pi05_base,mean_margin_at_50pct_linear,-0.3,-0.24283186651474614,-0.0010586244752630585,2
