split,condition,pair_index,episode_id,target_side,instruction,path,length,motion_start,grasp_start,pregrasp_frames,pregrasp_seconds,full_active_frames,full_active_seconds,motion_start_x,motion_start_y,motion_start_z,grasp_x,grasp_y,grasp_z,pregrasp_path_length_m,pregrasp_direct_distance_m,pregrasp_path_ratio,pregrasp_max_line_deviation_m
test,C0,0,2026_08_16_03_03_40_859009_L0_left_C0,left,pick up the left block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_03_03_40_859009_L0_left_C0/trajectory.h5,136,0,115,115,7.666666666666667,136,9.066666666666666,0.3670121729373932,0.002666443819180131,0.4859779477119446,0.6363809704780579,0.037401098757982254,0.1897738128900528,0.40717760319924257,0.40187427739008963,1.013196479863291,0.009588474404711483
test,C0,0,2026_08_16_03_14_57_283218_L0_right_C0,right,pick up the right block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_03_14_57_283218_L0_right_C0/trajectory.h5,136,0,115,115,7.666666666666667,136,9.066666666666666,0.3669919967651367,-0.004306236281991005,0.48593664169311523,0.6361600160598755,-0.040168147534132004,0.18970143795013428,0.40697991835286307,0.40186166180211164,1.0127363643692684,0.008598247114851035
test,C1,1,2026_08_16_23_53_01_150254_L0_left_C1,left,pick up the left block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_53_01_150254_L0_left_C1/trajectory.h5,137,0,116,116,7.733333333333333,137,9.133333333333333,0.36634305119514465,0.0037532546557486057,0.4879891872406006,0.6365503072738647,0.04225046560168266,0.18966569006443024,0.4074471176180543,0.4043400863822771,1.0076842028292978,0.01607145575640499
test,C1,1,2026_08_16_23_50_53_549032_L0_right_C1,right,pick up the right block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_50_53_549032_L0_right_C1/trajectory.h5,137,0,116,116,7.733333333333333,137,9.133333333333333,0.3663051724433899,-0.005246627144515514,0.48784640431404114,0.6363638043403625,-0.03997745364904404,0.18961189687252045,0.40742026884723687,0.40383377322933095,1.0088811185583262,0.018371865893844715
test,C2,2,2026_08_16_23_53_58_661787_L0_left_C2,left,pick up the left block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_53_58_661787_L0_left_C2/trajectory.h5,157,0,136,136,9.066666666666666,157,10.466666666666667,0.3685438334941864,0.0056953285820782185,0.48643311858177185,0.6365724802017212,0.04584381356835365,0.18898330628871918,0.4177985338333776,0.40240234484373716,1.0382606840812998,0.037870085106317314
test,C2,2,2026_08_16_23_51_51_005381_L0_right_C2,right,pick up the right block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_51_51_005381_L0_right_C2/trajectory.h5,158,0,137,137,9.133333333333333,158,10.533333333333333,0.36831754446029663,-0.005807342007756233,0.4867505431175232,0.6361968517303467,-0.04481450840830803,0.189729243516922,0.4166498008878084,0.4018737795757672,1.036767816321929,0.04057330082993433
test,C3,3,2026_08_16_23_54_58_166550_L0_left_C3,left,pick up the left block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_54_58_166550_L0_left_C3/trajectory.h5,144,0,123,123,8.2,144,9.6,0.36760687828063965,0.0056605092249810696,0.4883447587490082,0.6364951133728027,0.04550550505518913,0.18915174901485443,0.43446402698677605,0.40423379836113293,1.0747840204065178,0.06174892732789254
test,C3,3,2026_08_16_23_44_26_108386_L0_right_C3,right,pick up the right block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_44_26_108386_L0_right_C3/trajectory.h5,164,0,143,143,9.533333333333333,164,10.933333333333334,0.36698997020721436,-0.005904947407543659,0.48568132519721985,0.635981559753418,-0.04563581943511963,0.18971940875053406,0.4322441741682248,0.4019060504962073,1.075485610715641,0.06352481429725948
test,C4,4,2026_08_16_23_57_09_095600_L0_left_C4,left,pick up the left block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_57_09_095600_L0_left_C4/trajectory.h5,149,0,128,128,8.533333333333333,149,9.933333333333334,0.36766529083251953,0.005353943910449743,0.48844462633132935,0.6365589499473572,0.04550962895154953,0.18913313746452332,0.45442465429397544,0.4043558412103758,1.1238236423980583,0.08701337502313
test,C4,4,2026_08_16_23_49_49_740572_L0_right_C4,right,pick up the right block,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-16/2026_08_16_23_49_49_740572_L0_right_C4/trajectory.h5,149,0,128,128,8.533333333333333,149,9.933333333333334,0.36672067642211914,-0.0060184248723089695,0.488070547580719,0.6359397172927856,-0.04644769802689552,0.18978849053382874,0.45423148690977005,0.40383858613467594,1.1247847593203701,0.08764818227413425
