run,temperature,split,condition,n_trajectories,final_accuracy,raw_sign_early_auc,probability_early_auc,mean_final_true_belief,mean_prefix_nll
pi05_base_h16,0.01,test,C0_natural_direct,2,0.5,0.5013376136971642,0.45254928814226425,0.4481924771188005,0.8522638264288209
pi05_base_h16,0.01,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5160408487052746,0.5565051481853873,0.6486996510399974
pi05_base_h16,0.01,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.6723433300331301,0.668392724984006,0.4436787185631016
pi05_base_h16,0.01,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.4929790290098368,0.3620535286514589,0.7517803862247003
pi05_base_h16,0.03,test,C0_natural_direct,2,0.5,0.5013376136971642,0.4831392237160313,0.4808646180038375,0.736861842741957
pi05_base_h16,0.03,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5053678601252403,0.5189349476626961,0.6776012696497712
pi05_base_h16,0.03,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.5943358796034661,0.615468761150989,0.5219837374807412
pi05_base_h16,0.03,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.4976069526662185,0.45289959530460333,0.7082383462598167
pi05_base_h16,0.1,test,C0_natural_direct,2,0.5,0.5013376136971642,0.4949033465444407,0.49418991584327265,0.7052484284262968
pi05_base_h16,0.1,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5016110757285177,0.5056839232431841,0.688406524756167
pi05_base_h16,0.1,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.5310483724006538,0.5394640817724795,0.6273855278187512
pi05_base_h16,0.1,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.4992802721192796,0.4858304174695066,0.6971988582773917
pi05_base_h16,0.3,test,C0_natural_direct,2,0.5,0.5013376136971642,0.4982999797878007,0.498061249090782,0.6970840684789774
pi05_base_h16,0.3,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5005370462875783,0.5018947419543205,0.6915596374711315
pi05_base_h16,0.3,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.5104411968486732,0.5133182749211831,0.6697562615044426
pi05_base_h16,0.3,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.49976003751837583,0.49527564506490185,0.6944523520050749
pi05_base_h16,1.0,test,C0_natural_direct,2,0.5,0.5013376136971642,0.4994899551491331,0.49941830449632796,0.694318072883334
pi05_base_h16,1.0,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5001611146044667,0.5005684260288984,0.6926701485394385
pi05_base_h16,1.0,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.5031355292563366,0.5040011439270463,0.6859744763417721
pi05_base_h16,1.0,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.49992800944035076,0.49858265389506284,0.6935339654435757
pi05_base_h16,3.0,test,C0_natural_direct,2,0.5,0.5013376136971642,0.49982998391299016,0.4998060994405208,0.6935365090063943
pi05_base_h16,3.0,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5000537048892018,0.5001894754438493,0.6929880966391742
pi05_base_h16,3.0,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.5010452694491153,0.5013338808074295,0.690741465593878
pi05_base_h16,3.0,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.49997600309359164,0.49952755013715544,0.6932756548887576
pi05_base_h16,10.0,test,C0_natural_direct,2,0.5,0.5013376136971642,0.49994899513510616,0.4999418297619177,0.6932638773490774
pi05_base_h16,10.0,test,C1_mild_exaggeration,2,1.0,0.6248037676609105,0.5000161114674787,0.5000568426365974,0.6930994476927484
pi05_base_h16,10.0,test,C2_strong_exaggeration,2,0.5,0.7088870431893688,0.5003135840097968,0.5004001699134175,0.692423910541287
pi05_base_h16,10.0,test,C3_extreme_exaggeration,2,0.0,0.4965059097575705,0.4999928009262623,0.49985826500152053,0.6931856751921042
pi05_droid_h16,0.01,test,C0_natural_direct,2,0.5,0.4034242910647405,0.3746798678978092,0.41534645304248685,3.8096818597809285
pi05_droid_h16,0.01,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.9334901309262236,0.985287135232358,0.025342997214382053
pi05_droid_h16,0.01,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.6722724112535469,0.9614159016701458,0.6656111132818441
pi05_droid_h16,0.01,test,C3_extreme_exaggeration,2,1.0,0.9735139332240531,0.9728216769573452,0.9999930498920291,0.0006820885974873463
pi05_droid_h16,0.03,test,C0_natural_direct,2,0.5,0.4034242910647405,0.3567462144919773,0.35571638229673064,1.5146588142445525
pi05_droid_h16,0.03,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.7913902783645204,0.8025346817657533,0.2057888622093051
pi05_droid_h16,0.03,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.6982771543369781,0.8478703585774949,0.4160056150966794
pi05_droid_h16,0.03,test,C3_extreme_exaggeration,2,1.0,0.9735139332240531,0.9445779297230444,0.9878457457682608,0.030450894753882993
pi05_droid_h16,0.1,test,C0_natural_direct,2,0.5,0.4034242910647405,0.43520809664767046,0.43309556175436126,0.8772094603110112
pi05_droid_h16,0.1,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.6066500895137947,0.6036557144548893,0.4873187811839552
pi05_droid_h16,0.1,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.6779778022827642,0.7647253336637896,0.4038390508049675
pi05_droid_h16,0.1,test,C3_extreme_exaggeration,2,1.0,0.9735139332240531,0.7751654073289826,0.8236520844063244,0.23710957615138176
pi05_droid_h16,0.3,test,C0_natural_direct,2,0.5,0.4034242910647405,0.47735582154620426,0.47660674113996015,0.7468903285077868
pi05_droid_h16,0.3,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.536336410594866,0.5350031985392112,0.617870831501742
pi05_droid_h16,0.3,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.5893767726940466,0.6385858675569469,0.5216067858624497
pi05_droid_h16,0.3,test,C3_extreme_exaggeration,2,1.0,0.9735139332240531,0.6091891311532129,0.6312024975866588,0.485573704602854
pi05_droid_h16,1.0,test,C0_natural_direct,2,0.5,0.4034242910647405,0.4931689357016217,0.4929428167600288,0.7084481686228196
pi05_droid_h16,1.0,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.5109287675802447,0.51051663039265,0.6698519906386066
pi05_droid_h16,1.0,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.5288205641864507,0.5452070453319993,0.630092900882869
pi05_droid_h16,1.0,test,C3_extreme_exaggeration,2,1.0,0.9735139332240531,0.5335735206360582,0.5404682047601194,0.6240138577614223
pi05_droid_h16,3.0,test,C0_natural_direct,2,0.5,0.4034242910647405,0.49772186335622054,0.49764645002472196,0.6981689834194669
pi05_droid_h16,3.0,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.5036437419100978,0.5035060035790487,0.685314150401684
pi05_droid_h16,3.0,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.5096723092890878,0.5151889182998223,0.6709605613422005
pi05_droid_h16,3.0,test,C3_extreme_exaggeration,2,1.0,0.9735139332240531,0.511216137895647,0.5135233164036186,0.6694357921832828
pi05_droid_h16,10.0,test,C0_natural_direct,2,0.5,0.4034242910647405,0.4993165209280192,0.4992938955532269,0.6946454737557224
pi05_droid_h16,10.0,test,C1_mild_exaggeration,2,1.0,0.957613814756672,0.5010931505450726,0.5010518167778917,0.6907901337299529
pi05_droid_h16,10.0,test,C2_strong_exaggeration,2,1.0,0.6731727574750831,0.5029039492373262,0.5045608140052666,0.68636782453861
