run,temperature,split,condition,episode_id,target_side,final_correct,raw_sign_early_auc,probability_early_auc,final_true_belief,final_cumulative_margin,prefix_nll
pi05_base_h16,0.01,test,C0_natural_direct,Sun_Aug__9_19:29:02_2026,left,0,0.047619047619047616,0.3514406553035115,0.2868682666268319,-0.00910643053551515,1.1340408966579234
pi05_base_h16,0.01,test,C0_natural_direct,Sun_Aug__9_19:29:23_2026,right,1,0.9550561797752809,0.553657920981017,0.609516687610769,0.004452810933192571,0.5704867561997183
pi05_base_h16,0.01,test,C1_mild_exaggeration,Sun_Aug__9_19:30:32_2026,left,1,0.7802197802197801,0.5227902398187113,0.5362740991375379,0.001453517625729243,0.642911831473449
pi05_base_h16,0.01,test,C1_mild_exaggeration,Sun_Aug__9_19:31:21_2026,right,1,0.46938775510204084,0.5092914575918377,0.5767361972332368,0.00309389332930247,0.6544874706065459
pi05_base_h16,0.01,test,C2_strong_exaggeration,Sun_Aug__9_19:33:31_2026,left,1,0.9534883720930233,0.8863996098566035,0.97770200749847,0.037807082757353776,0.06950400338368735
pi05_base_h16,0.01,test,C2_strong_exaggeration,Sun_Aug__9_19:33:54_2026,right,0,0.4642857142857143,0.4582870502096566,0.35908344246954216,-0.005793444812297821,0.8178534337425158
pi05_base_h16,0.01,test,C3_extreme_exaggeration,Sun_Aug__9_19:34:35_2026,right,0,0.4855491329479768,0.47117504602693255,0.34846797368400245,-0.006257802248001099,0.792230405340483
pi05_base_h16,0.01,test,C3_extreme_exaggeration,Sun_Aug__9_19:35:12_2026,left,0,0.5074626865671641,0.5147830119927411,0.3756390836189153,-0.005080997943878174,0.7113303671089177
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:07:45_2026,left,0,0.05714285714285714,0.3932600219125129,0.32950457443033415,-0.007104266434907913,0.9959838893875471
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:08:45_2026,right,1,0.9393939393939394,0.627386472296589,0.7106815812038332,0.008986966063578924,0.4152371157923437
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:09:06_2026,left,0,0.05194805194805195,0.3321504606584796,0.28953962972265296,-0.008976209908723831,1.178720608771199
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:09:27_2026,right,1,0.9420289855072463,0.7348120262236933,0.8112737477834319,0.01458307976524035,0.2547044532916225
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:09:58_2026,right,1,0.9459459459459459,0.6195305627247836,0.6165840231043024,0.004750741024812062,0.4611503914869662
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:10:16_2026,left,0,0.06060606060606061,0.4288981297262792,0.3641137167791016,-0.005575535198052724,0.9030496232766934
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:10:44_2026,right,1,0.9420289855072463,0.6292453858330466,0.6971681624811217,0.008338489880164465,0.42208333179035035
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:11:06_2026,left,0,0.05263157894736842,0.41173642188352133,0.4003567371484346,-0.004039789239565531,0.9185726050937548
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:11:26_2026,left,0,0.057971014492753624,0.44319704728722487,0.4048866834798847,-0.0038514460126558943,0.8478724685145748
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:11:48_2026,right,1,0.7674418604651163,0.5516799255684602,0.6284018073118423,0.005253666390975317,0.5687427185040058
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:12:15_2026,left,1,0.9375,0.572897475722034,0.6200130763577995,0.00489603728055954,0.5334079388894776
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:12:36_2026,right,1,0.9600000000000001,0.7372530191779592,0.8566516162639739,0.01787753403186798,0.26302493512515096
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:13:10_2026,right,1,0.9506172839506173,0.6304593586794366,0.6579074117182873,0.006539827833573023,0.43478899718270503
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:13:30_2026,left,0,0.44366197183098594,0.5009414007543397,0.4993813692954818,-2.4745240807533156e-05,0.6907903692883297
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:15:02_2026,right,1,0.949367088607595,0.5798552096806914,0.6322805914343397,0.005420130987962086,0.5244600522365294
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:15:26_2026,left,1,0.9500000000000001,0.5616451814640125,0.5558381620366367,0.002242881804704666,0.5675477874367788
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:15:54_2026,right,1,0.9428571428571428,0.6751320275175726,0.7737187501450552,0.012294297417004905,0.34044779348477755
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:16:22_2026,left,1,0.9420289855072463,0.6740657307419547,0.7282252498006219,0.009856368104616802,0.35441657914417296
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:16:48_2026,right,1,0.9384615384615385,0.6955157397768801,0.8151833401111805,0.014840487390756605,0.2947492926455149
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:17:13_2026,left,0,0.0784313725490196,0.39503990306761183,0.4051715607247599,-0.003839624424775441,0.9549636329476525
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:17:36_2026,right,1,0.9375,0.5452177680678474,0.5962850358692364,0.003900097062190374,0.5868773796784175
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:17:54_2026,left,0,0.04819277108433735,0.3894112015492678,0.39087767345491803,-0.00443624456723531,0.9695187947082746
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:18:14_2026,left,0,0.04819277108433735,0.3385482570952567,0.28058407523114326,-0.009415662537018457,1.1749065797566731
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:18:37_2026,right,1,0.75,0.5237709413707,0.5817850580997074,0.0033010554810365043,0.6392571328334233
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:18:58_2026,right,1,0.9466666666666667,0.6837684465515399,0.7183455508929685,0.00936269760131836,0.3464846671792888
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:19:18_2026,left,0,0.5977011494252874,0.5369536604413109,0.4724644955961325,-0.0011025356749693553,0.6389040101363471
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:19:42_2026,right,1,0.9506172839506173,0.6062409229437535,0.6720312288692611,0.007173864170908928,0.4644537693005783
pi05_base_h16,0.01,train,train_natural,Sun_Aug__9_19:20:01_2026,left,0,0.4931506849315068,0.4347381448610572,0.30483887368612833,-0.00824360301097234,0.9373690510481236
