run,temperature,split,condition,n_trajectories,final_accuracy,raw_sign_early_auc,probability_early_auc,mean_final_true_belief,mean_prefix_nll
pi05_base_h16,0.01,test,all,8,0.5,0.5828835835762536,0.5334781239726264,0.5087859697349132,0.6741056455641551
pi05_base_h16,0.01,train,all,32,0.59375,0.6154929156347825,0.5476249562565103,0.5666533766804127,0.6283215765026894
pi05_base_h16,0.03,test,all,8,0.5,0.5828835835762536,0.520112479027739,0.5170419805305315,0.6611712990330716
pi05_base_h16,0.03,train,all,32,0.59375,0.6154929156347825,0.5173691819542257,0.5253763416371725,0.6583582057826319
pi05_base_h16,0.1,test,all,8,0.5,0.5828835835762536,0.5067107666982229,0.5062920845821107,0.6795598348196517
pi05_base_h16,0.1,train,all,32,0.59375,0.6154929156347825,0.5052703230760511,0.5077454139473483,0.6812382594029608
pi05_base_h16,0.3,test,all,8,0.5,0.5828835835762536,0.502259565110607,0.5021374777577968,0.6882130798649067
pi05_base_h16,0.3,train,all,32,0.59375,0.6154929156347825,0.5017585533064391,0.5025857888250351,0.6890363090057647
pi05_base_h16,1.0,test,all,8,0.5,0.5828835835762536,0.5006786521125718,0.5006426320868339,0.6916241658020301
pi05_base_h16,1.0,train,all,32,0.59375,0.6154929156347825,0.5005276268031913,0.5007758729267948,0.6918990798309013
pi05_base_h16,3.0,test,all,8,0.5,0.5828835835762536,0.5002262403362248,0.5002142514572387,0.692635431532051
pi05_base_h16,3.0,train,all,32,0.59375,0.6154929156347825,0.5001758773834202,0.500258628303506,0.6927297336170923
pi05_base_h16,10.0,test,all,8,0.5,0.5828835835762536,0.500067872884661,0.5000642768283633,0.6929932276938042
pi05_base_h16,10.0,train,all,32,0.59375,0.6154929156347825,0.50005276327585,0.5000775886273698,0.6930217980726061
pi05_droid_h16,0.01,test,all,8,0.875,0.7519311991301372,0.7383160217587312,0.8405106349592549,1.1253295147186604
pi05_droid_h16,0.01,train,all,32,0.59375,0.5418773498050948,0.529936231217053,0.5801504782901985,2.813289569264642
pi05_droid_h16,0.03,test,all,8,0.875,0.7519311991301372,0.69774789422913,0.74849179210206,0.541726046576105
pi05_droid_h16,0.03,train,all,32,0.59375,0.5418773498050948,0.5107606164416347,0.5504836681544956,1.1355562859261736
pi05_droid_h16,0.1,test,all,8,0.875,0.7519311991301372,0.6237503489433031,0.6562821735698412,0.5013692171128289
pi05_droid_h16,0.1,train,all,32,0.59375,0.5418773498050948,0.5007557927322808,0.5170388685337444,0.7414298207339486
pi05_droid_h16,0.3,test,all,8,0.875,0.7519311991301372,0.5530645339970824,0.5703495762056943,0.5929854126187082
pi05_droid_h16,0.3,train,all,32,0.59375,0.5418773498050948,0.5000339148851844,0.5054753761291088,0.6976627275001498
pi05_droid_h16,1.0,test,all,8,0.875,0.7519311991301372,0.5166229470260938,0.5222836743111994,0.6581017294764293
pi05_droid_h16,1.0,train,all,32,0.59375,0.5418773498050948,0.5000014029640254,0.5016311774031973,0.6932219751490782
pi05_droid_h16,3.0,test,all,8,0.875,0.7519311991301372,0.5055635131127633,0.5074661720768029,0.6809698718366586
pi05_droid_h16,3.0,train,all,32,0.59375,0.5418773498050948,0.5000002054546303,0.5005433713977671,0.6930494945843355
pi05_droid_h16,10.0,test,all,8,0.875,0.7519311991301372,0.5016698293259345,0.5022411708280734,0.6894417579880143
pi05_droid_h16,10.0,train,all,32,0.59375,0.5418773498050948,0.5000000526726267,0.5001629992639479,0.693104992837452
