condition,target,init_state_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,evidence_auc_first_10,evidence_auc_first_20,evidence_at_step_10,evidence_at_step_20,evidence_at_step_50,evidence_at_step_100,max_target_lift_m,max_alternate_lift_m,wrong_object_lifted,target_lift_step_3cm,w_query_1,w_query_2,w_query_5,w_mean_first_10_queries,w_mean_all_queries,belief_positive_query_2,belief_negative_query_2,belief_positive_mean_first_10,belief_negative_mean_first_10,belief_positive_final,belief_negative_final,w_at_target_lift_3cm,belief_positive_at_target_lift_3cm,energy_margin_pos_minus_neg_mean,initial_observation_sha256,metadata
base,cream_cheese,0,True,180,36,0.4432354278507267,9.400219425026554,-0.0001763325085157863,-0.000977758872490897,-0.0007262748709708777,-0.0019913679959711605,-0.006924569822220117,0.3628916878311846,0.0919034120881137,6.733817525805819e-08,False,161,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,6ff3567296ad470a904d94a1f7f099946dd5d4fdf12be2ef180e7258ea8238c3,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init0_repeat0_success.json
base,cream_cheese,1,True,154,31,0.4294137185687743,5.292846061357918,-0.0013455495345475466,-0.0020018990438616185,-0.0016140250822516133,-0.004431693624946609,-0.0064431038300736265,0.3476278691759568,0.09219445739273957,6.733817525805819e-08,False,135,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,a9cd28badf0f9e557bf969510126d1ee7212c78590a9aa73016f8f3edda73d17,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init1_repeat0_success.json
base,cream_cheese,2,False,220,44,0.45153801582097924,6.885220328655792,-0.0007330488982384642,-0.0011409797903252112,-0.0011483110522236273,-0.0024162070575080574,-0.010588355696042717,-0.008247656611270915,0.06692396413070878,6.733817525805819e-08,False,208,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,365159cef76e99205cd76f9d6c9c67fe9dc691b7852634bdddc2e2bc2ff8817e,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init2_repeat0_failure.json
base,cream_cheese,3,True,171,35,0.44416893527718876,5.409846222534561,0.0007242366127384548,-0.0006094331035630008,0.0008362102632610835,-0.003768460470403967,-0.0044436265622765925,0.3004488154622943,0.09263900085625254,6.733817525805819e-08,False,153,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,57703ddd28329a0235bfb328fa06c98d2cdc1aff1ea610bd10cc248069ac7771,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init3_repeat0_success.json
base,cream_cheese,4,True,208,42,0.47087342747858363,10.473943001981095,-0.000798607294234932,-0.001248023107361698,-0.0011909812993404212,-0.0012205041077107404,-0.0344657810094296,0.13307479232937447,0.09151864110836061,6.733817525805819e-08,False,189,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0cb085e959a7b473fad015daa1dfb4d87bc17b5ebaf80d5005929b48f1f2de5a,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init4_repeat0_success.json
base,cream_cheese,5,True,182,37,0.43965962601876923,9.481631721233287,-0.00011457739765596275,-0.00016956495185478372,-0.0009889921474823815,0.001201000095134075,0.020657187478974215,0.42663486863616157,0.09165846900321695,6.733817525805819e-08,False,164,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,cdadbcb43da33c4bb62f2856f07b8984a70ae5d8806f094f32926f560e32205a,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init5_repeat0_success.json
base,cream_cheese,6,True,214,43,0.4424314944407559,25.56310323291577,-0.0016682521720555565,-0.0032132100727892965,-0.004023689879364412,-0.005337757464508541,-0.009111472855112768,0.4079048846472019,0.09297979946264179,6.733817525805819e-08,False,196,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,34b9d42fafae74f3a7b3ed7cc5968102807d45994807498f72bb3ca5a0320144,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init6_repeat0_success.json
base,cream_cheese,7,True,176,36,0.4552806552695002,5.522999842920872,-0.0011062458172015454,-0.0020485066349484964,-0.0016803076875617773,-0.00549250500184284,-0.02914665797203786,0.1376508991982226,0.09315799661874125,6.733817525805819e-08,False,158,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,c0ea06d39715170bfb60db0aaa48d147cbce93489004fe8d992e9c8870c58d97,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init7_repeat0_success.json
base,cream_cheese,8,False,220,44,0.48913438710094326,7.114193856275973,-0.000830042438566686,-4.691039701300026e-05,-0.00039931179819790996,0.0012825643236377693,-0.0010862873753636482,-0.07338070508573452,0.08070222846907837,6.733817525805819e-08,False,204,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,5465843d03d056554d4de977d22e4ed0b43382660018b444e3143383238ec763,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init8_repeat0_failure.json
base,cream_cheese,9,True,169,34,0.44300395318063346,5.812260375395432,-0.001145321325503057,-0.0025770343062630372,-0.0035219787321804086,-0.004239643860460218,-0.028336175734991254,0.1673427517008388,0.09369083154112934,6.733817525805819e-08,False,151,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,150f223193d1e1e8434f7550dbca2eb2fd2f2dd2292f61858ed5090add18bdab,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_cream_cheese_init9_repeat0_success.json
base,tomato_sauce,0,False,220,44,0.43864796784377225,13.956593543854124,0.0007487219869802553,0.002992285400104877,0.0021271259208736626,0.007308161833281257,0.07318777488940309,0.43160181860348557,0.00024081508107343108,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6ff3567296ad470a904d94a1f7f099946dd5d4fdf12be2ef180e7258ea8238c3,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init0_repeat0_failure.json
base,tomato_sauce,1,True,200,40,0.46593422093193787,5.954164752830387,0.0024776809123038257,0.005103329836208837,0.004144631010286504,0.012907312760636502,0.10186359819034466,0.5471553474482258,0.06356383299812174,6.623427961649497e-08,False,190,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,a9cd28badf0f9e557bf969510126d1ee7212c78590a9aa73016f8f3edda73d17,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init1_repeat0_success.json
base,tomato_sauce,2,False,220,44,0.4435376602354213,10.249718432337392,0.001343430055263045,0.002890742940135349,0.0024044609437793296,0.007758609436982644,0.05412876241855172,0.3744117611638829,0.004215675157861698,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,365159cef76e99205cd76f9d6c9c67fe9dc691b7852634bdddc2e2bc2ff8817e,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init2_repeat0_failure.json
base,tomato_sauce,3,True,201,41,0.4651827218871154,6.029280630497517,0.0002418985566551124,0.0036956817627293763,0.0015412312837447262,0.011520452874776904,0.07457400591170704,0.4819437104023231,0.06306931191542764,6.623427961649497e-08,False,190,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,57703ddd28329a0235bfb328fa06c98d2cdc1aff1ea610bd10cc248069ac7771,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init3_repeat0_success.json
base,tomato_sauce,4,False,220,44,0.4236810635834555,6.627246074061686,0.0017521987313284637,0.004213137601686004,0.0035901979446206767,0.007747196061353656,0.0804779531639267,0.4448416793106814,0.0021600193060132833,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0cb085e959a7b473fad015daa1dfb4d87bc17b5ebaf80d5005929b48f1f2de5a,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init4_repeat0_failure.json
base,tomato_sauce,5,True,185,37,0.4307772607274084,9.19945753523201,0.0014506244210259589,0.003662804260475666,0.0045135498767917,0.006037793931510327,0.093055168958876,0.514774472592399,0.06267384946490051,6.623427961649497e-08,False,176,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,cdadbcb43da33c4bb62f2856f07b8984a70ae5d8806f094f32926f560e32205a,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init5_repeat0_success.json
base,tomato_sauce,6,False,220,44,0.4723795642045985,8.199507294432662,0.002499180194368689,0.005281512324134885,0.005785697380758015,0.010414220386451845,0.09671135191035823,0.5056450606043235,0.009234475594087854,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,34b9d42fafae74f3a7b3ed7cc5968102807d45994807498f72bb3ca5a0320144,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init6_repeat0_failure.json
base,tomato_sauce,7,False,220,44,0.49598125276884675,10.276987738354428,0.0018730153723246546,0.004310746353067685,0.0031301920965854935,0.013539907153189645,0.08788066648441084,0.4726189215941728,6.733817525805819e-08,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,c0ea06d39715170bfb60db0aaa48d147cbce93489004fe8d992e9c8870c58d97,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init7_repeat0_failure.json
base,tomato_sauce,8,False,220,44,0.4292443368843589,6.581833646906107,0.0017612580350091333,0.001925473881167189,0.0022126466047741045,0.0026611612245383,0.06562674605326624,0.45551785882314744,0.0010039535642081265,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5465843d03d056554d4de977d22e4ed0b43382660018b444e3143383238ec763,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init8_repeat0_failure.json
base,tomato_sauce,9,False,220,44,0.3937123942253905,13.279717319323249,0.002941803961610712,0.007173693498100153,0.00817074262654155,0.012843443027375612,0.09390640472180606,0.5103507608716529,6.733817525805819e-08,6.623427961649497e-08,False,,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,150f223193d1e1e8434f7550dbca2eb2fd2f2dd2292f61858ed5090add18bdab,artifacts/two_object_pickup_finetune_pilot_10/two_object_pickup_base_tomato_sauce_init9_repeat0_failure.json
